&a / °	I1 / %
5.459	7.2
5.454	7.1
5.449	7.1
5.443	7.1
5.438	7.1
5.433	7.1
5.428	7.1
5.422	7.0
5.417	7.0
5.412	7.0
5.406	7.0
5.401	7.0
5.396	7.0
5.390	7.0
5.385	7.3
5.380	7.3
5.375	7.3
5.369	7.3
5.364	7.3
5.359	7.3
5.353	7.3
5.348	7.3
5.343	7.2
5.337	7.2
5.332	7.2
5.327	7.2
5.322	7.2
5.316	7.2
5.311	7.2
5.306	7.3
5.300	7.4
5.295	7.4
5.290	7.4
5.284	7.4
5.279	7.4
5.274	7.4
5.269	7.3
5.263	7.3
5.258	7.3
5.253	7.3
5.247	7.3
5.242	7.3
5.237	7.4
5.231	7.6
5.226	7.7
5.221	7.7
5.216	7.7
5.210	7.6
5.205	7.6
5.200	7.4
5.194	7.4
5.189	7.2
5.184	7.2
5.178	7.2
5.173	7.2
5.168	7.1
5.162	7.2
5.157	7.2
5.152	7.2
5.147	7.2
5.141	7.2
5.136	7.2
5.131	7.2
5.125	7.2
5.120	7.6
5.115	7.4
5.109	7.4
5.104	7.4
5.099	7.6
5.094	7.8
5.088	8.2
5.083	8.6
5.078	9.0
5.072	9.0
5.067	9.0
5.062	8.7
5.056	8.5
5.051	8.4
5.046	8.2
5.040	8.1
5.035	8.1
5.030	8.0
5.025	8.1
5.019	8.3
5.014	8.7
5.009	9.2
5.003	9.8
4.998	10.1
4.993	10.0
4.987	9.6
4.982	9.2
4.977	8.8
4.971	8.5
4.966	8.4
4.961	8.4
4.956	8.4
4.950	8.4
4.945	8.7
4.940	9.3
4.934	10.1
4.929	11.3
4.924	12.1
4.918	12.3
4.913	11.9
4.908	11.2
4.902	10.4
4.897	9.9
4.892	9.5
4.887	9.2
4.881	9.2
4.876	9.2
4.871	9.3
4.865	9.8
4.860	10.6
4.855	12.2
4.849	13.7
4.844	14.5
4.839	14.5
4.833	13.6
4.828	12.5
4.823	11.6
4.818	10.7
4.812	10.2
4.807	9.8
4.802	9.7
4.796	9.7
4.791	10.1
4.786	10.9
4.780	12.7
4.775	14.5
4.770	16.5
4.764	17.7
4.759	17.6
4.754	16.2
4.748	14.5
4.743	12.8
4.738	11.7
4.733	10.9
4.727	10.5
4.722	10.2
4.717	10.3
4.711	10.6
4.706	11.6
4.701	13.3
4.695	16.1
4.690	19.2
4.685	21.2
4.679	21.2
4.674	19.4
4.669	16.9
4.663	14.6
4.658	13.0
4.653	11.8
4.648	11.2
4.642	10.8
4.637	10.8
4.632	11.2
4.626	12.0
4.621	13.9
4.616	17.0
4.610	21.0
4.605	24.2
4.600	25.1
4.594	23.5
4.589	20.6
4.584	17.5
4.578	15.1
4.573	13.3
4.568	12.4
4.563	11.7
4.557	11.4
4.552	11.5
4.547	12.1
4.541	13.7
4.536	16.4
4.531	20.6
4.525	25.4
4.520	28.5
4.515	28.5
4.509	25.7
4.504	21.7
4.499	18.2
4.493	15.4
4.488	13.6
4.483	12.5
4.478	11.8
4.472	11.6
4.467	12.0
4.462	13.2
4.456	15.0
4.451	18.5
4.446	23.6
4.440	31.7
4.435	33.7
4.430	32.8
4.424	29.1
4.419	24.4
4.414	20.1
4.408	17.0
4.403	14.8
4.398	13.6
4.392	12.8
4.387	12.4
4.382	12.6
4.377	13.4
4.371	15.3
4.366	18.9
4.361	23.9
4.355	29.8
4.350	34.1
4.345	35.0
4.339	32.3
4.334	27.6
4.329	22.8
4.323	19.1
4.318	16.3
4.313	14.5
4.307	13.3
4.302	12.9
4.297	12.9
4.291	13.3
4.286	14.9
4.281	17.8
4.275	22.6
4.270	29.2
4.265	35.2
4.260	38.4
4.254	37.3
4.249	32.8
4.244	27.3
4.238	22.5
4.233	18.9
4.228	16.3
4.222	14.6
4.217	13.7
4.212	13.2
4.206	13.2
4.201	14.0
4.196	15.6
4.190	19.2
4.185	24.8
4.180	31.6
4.174	37.8
4.169	40.7
4.164	39.3
4.158	34.5
4.153	28.9
4.148	23.7
4.143	20.0
4.137	17.2
4.132	15.4
4.127	14.2
4.121	13.7
4.116	13.7
4.111	14.2
4.105	15.7
4.100	19.7
4.095	24.6
4.089	31.2
4.084	37.4
4.079	41.0
4.073	40.5
4.068	36.6
4.063	31.0
4.057	26.0
4.052	22.0
4.047	18.8
4.041	16.6
4.036	15.1
4.031	14.3
4.025	13.9
4.020	14.0
4.015	14.9
4.009	16.9
4.004	21.0
3.999	27.7
3.994	35.5
3.988	42.0
3.983	44.8
3.978	43.2
3.972	38.2
3.967	32.2
3.962	26.7
3.956	22.4
3.951	19.2
3.946	16.8
3.940	15.3
3.935	14.5
3.930	14.1
3.924	14.3
3.919	15.1
3.914	16.9
3.908	20.8
3.903	27.3
3.898	35.2
3.892	42.4
3.887	46.1
3.882	45.2
3.876	40.7
3.871	34.7
3.866	29.0
3.860	24.2
3.855	20.6
3.850	18.0
3.844	16.1
3.839	14.9
3.834	14.4
3.829	14.3
3.823	14.7
3.818	15.8
3.813	18.2
3.807	23.0
3.802	30.6
3.797	39.2
3.791	45.6
3.786	48.0
3.781	45.7
3.775	40.4
3.770	34.1
3.765	28.5
3.759	21.1
3.754	19.0
3.749	17.1
3.743	15.7
3.738	14.7
3.733	14.2
3.727	14.2
3.722	14.6
3.717	15.6
3.711	17.6
3.706	22.0
3.701	29.2
3.695	38.0
3.690	45.5
3.685	49.3
3.679	48.4
3.674	43.6
3.669	37.2
3.663	31.2
3.658	26.1
3.653	22.1
3.647	19.3
3.642	17.2
3.637	15.7
3.632	14.8
3.626	14.4
3.621	14.4
3.616	14.9
3.610	16.1
3.605	18.5
3.600	23.3
3.594	30.7
3.589	39.4
3.584	46.6
3.578	49.9
3.573	48.5
3.568	43.4
3.562	37.0
3.557	30.9
3.552	25.8
3.546	21.9
3.541	19.0
3.536	17.0
3.530	15.7
3.525	14.9
3.520	14.5
3.514	14.5
3.509	14.8
3.504	15.7
3.498	17.3
3.493	20.9
3.488	27.2
3.482	35.6
3.477	44.0
3.472	49.7
3.466	51.2
3.461	48.2
3.456	42.5
3.450	36.2
3.445	30.4
3.440	25.7
3.434	22.0
3.429	19.4
3.424	17.4
3.418	15.2
3.413	14.8
3.408	14.4
3.402	14.4
3.397	14.6
3.392	15.3
3.386	16.6
3.381	19.5
3.376	25.0
3.370	33.0
3.365	41.6
3.360	48.5
3.354	51.6
3.349	50.4
3.344	45.9
3.338	39.9
3.333	33.8
3.328	28.5
3.322	24.2
3.317	21.0
3.312	18.7
3.306	17.0
3.301	15.8
3.296	15.0
3.291	14.6
3.285	14.6
3.280	15.0
3.275	15.7
3.269	17.0
3.264	19.8
3.259	24.9
3.253	32.3
3.248	40.7
3.243	47.8
3.237	51.8
3.232	51.7
3.227	48.1
3.221	42.4
3.216	36.4
3.211	30.9
3.205	26.4
3.200	22.8
3.195	20.0
3.189	18.1
3.184	16.7
3.179	15.6
3.173	15.1
3.168	14.7
3.163	14.7
3.157	15.1
3.152	15.9
3.147	17.3
3.141	20.2
3.136	25.2
3.131	32.5
3.125	40.6
3.120	47.4
3.115	51.6
3.109	52.3
3.104	49.6
3.099	44.8
3.093	39.2
3.088	33.7
3.083	28.9
3.077	22.8
3.072	20.9
3.067	19.0
3.061	17.5
3.056	16.4
3.051	15.6
3.045	15.1
3.040	14.8
3.035	14.8
3.029	15.2
3.024	16.0
3.019	17.4
3.013	20.2
3.008	25.0
3.003	31.8
2.997	39.7
2.992	46.8
2.987	51.6
2.981	53.3
2.976	51.8
2.971	47.8
2.965	42.5
2.960	36.9
2.955	31.9
2.949	27.6
2.944	24.0
2.939	21.2
2.933	19.2
2.928	17.6
2.923	16.4
2.917	15.6
2.912	15.2
2.907	15.0
2.901	15.0
2.896	15.4
2.891	16.2
2.885	17.3
2.880	19.7
2.875	23.7
2.869	29.7
2.864	36.9
2.859	44.0
2.853	49.4
2.848	52.5
2.843	52.7
2.837	50.4
2.832	46.0
2.827	41.1
2.821	36.0
2.816	31.3
2.811	27.4
2.805	24.0
2.800	21.4
2.795	19.4
2.789	18.0
2.784	16.8
2.779	16.0
2.773	15.4
2.768	15.2
2.763	15.1
2.757	15.3
2.752	15.8
2.747	16.7
2.741	18.3
2.736	22.2
2.731	26.1
2.725	31.7
2.720	38.1
2.715	44.5
2.709	49.8
2.704	52.9
2.699	53.4
2.693	51.5
2.688	47.7
2.683	42.6
2.677	37.4
2.672	32.6
2.667	28.5
2.661	25.3
2.656	22.6
2.651	20.3
2.645	18.7
2.640	17.5
2.635	16.6
2.629	15.8
2.624	15.3
2.619	15.1
2.613	15.1
2.608	15.1
2.602	15.5
2.597	16.4
2.592	18.0
2.586	20.6
2.581	24.6
2.576	29.9
2.570	36.1
2.565	42.5
2.560	48.0
2.554	52.0
2.549	53.7
2.544	53.3
2.538	50.9
2.533	47.1
2.528	42.5
2.522	38.0
2.517	33.7
2.512	29.8
2.506	26.6
2.501	23.8
2.496	21.4
2.490	19.7
2.485	18.3
2.480	17.2
2.474	16.4
2.469	15.8
2.464	15.4
2.458	15.3
2.453	15.4
2.448	15.5
2.442	15.9
2.437	16.7
2.432	18.1
2.426	20.5
2.421	24.0
2.416	28.6
2.410	34.1
2.405	39.9
2.400	45.4
2.394	52.8
2.389	54.3
2.384	54.7
2.378	53.4
2.373	50.9
2.368	47.2
2.362	42.9
2.357	38.6
2.352	34.6
2.346	30.8
2.341	27.5
2.336	24.8
2.330	22.4
2.325	20.5
2.320	19.2
2.314	18.0
2.309	16.9
2.304	16.1
2.298	15.7
2.293	15.4
2.288	15.2
2.282	15.0
2.277	15.2
2.272	15.6
2.266	16.3
2.261	17.5
2.256	19.4
2.250	22.0
2.245	25.6
2.240	30.4
2.234	35.6
2.229	40.6
2.223	45.0
2.218	48.6
2.213	51.4
2.207	52.9
2.202	52.8
2.197	50.8
2.191	47.2
2.186	42.6
2.181	38.2
2.175	34.4
2.170	31.3
2.165	28.5
2.159	26.0
2.154	23.9
2.149	22.0
2.143	20.4
2.138	19.1
2.133	18.0
2.127	17.2
2.122	16.4
2.117	16.0
2.111	15.6
2.106	15.3
2.101	15.1
2.095	15.1
2.090	15.1
2.085	15.5
2.079	16.0
2.074	16.9
2.069	18.3
2.063	20.4
2.058	23.2
2.053	28.4
2.047	32.0
2.042	36.5
2.037	41.5
2.031	46.0
2.026	50.1
2.021	52.8
2.015	54.4
2.010	54.7
2.005	53.5
1.999	51.2
1.994	48.3
1.989	44.8
1.983	41.1
1.978	37.4
1.972	33.8
1.967	30.6
1.962	27.8
1.956	25.5
1.951	23.4
1.946	21.5
1.940	20.0
1.935	18.8
1.930	17.9
1.924	17.1
1.919	16.4
1.914	16.0
1.908	15.6
1.903	15.3
1.898	15.0
1.892	15.0
1.887	15.0
1.882	15.0
1.876	15.3
1.871	15.8
1.866	16.4
1.860	17.6
1.855	19.2
1.850	21.3
1.844	24.2
1.839	27.7
1.834	32.0
1.828	36.6
1.823	41.2
1.818	45.5
1.812	49.4
1.807	52.4
1.802	54.4
1.796	55.2
1.791	55.1
1.786	53.7
1.780	51.6
1.775	48.9
1.769	45.6
1.764	42.3
1.759	38.9
1.753	35.6
1.748	32.5
1.743	29.7
1.737	27.3
1.732	25.2
1.727	23.3
1.721	21.8
1.716	20.5
1.711	18.7
1.705	18.1
1.700	17.5
1.695	16.9
1.689	16.5
1.684	16.1
1.679	15.7
1.673	15.4
1.668	15.3
1.663	15.1
1.657	15.0
1.652	15.0
1.647	15.0
1.641	15.3
1.636	15.7
1.631	16.2
1.625	16.8
1.620	17.8
1.615	19.2
1.609	21.0
1.604	23.4
1.599	26.2
1.593	29.5
1.588	33.2
1.582	37.1
1.577	40.6
1.572	43.8
1.566	46.8
1.561	50.0
1.556	52.9
1.550	55.1
1.545	56.2
1.540	56.2
1.534	55.2
1.529	53.4
1.524	51.0
1.518	48.1
1.513	45.0
1.508	42.0
1.502	39.0
1.497	35.9
1.492	33.0
1.486	30.6
1.481	28.2
1.476	26.2
1.470	24.6
1.465	23.0
1.460	21.6
1.454	20.4
1.449	19.5
1.444	18.7
1.438	18.1
1.433	17.6
1.428	17.2
1.422	16.8
1.417	16.4
1.411	16.0
1.406	15.8
1.401	15.6
1.395	15.5
1.390	15.4
1.385	15.3
1.379	15.3
1.374	15.3
1.369	15.4
1.363	15.4
1.358	15.5
1.353	15.7
1.347	16.1
1.342	16.5
1.337	17.1
1.331	17.9
1.326	19.1
1.321	20.6
1.315	22.4
1.310	24.7
1.305	27.4
1.299	30.4
1.294	33.8
1.289	37.4
