&a / °	I1 / %
5.459	7.7
5.454	7.7
5.449	7.7
5.443	7.7
5.438	7.7
5.433	7.7
5.428	7.7
5.422	7.7
5.417	7.7
5.412	7.7
5.406	7.7
5.401	7.7
5.396	7.7
5.390	7.7
5.385	7.8
5.380	7.8
5.375	7.8
5.369	7.8
5.364	7.9
5.359	7.9
5.353	8.0
5.348	8.0
5.343	8.0
5.337	8.0
5.332	8.0
5.327	8.0
5.322	8.0
5.316	8.0
5.311	8.0
5.306	8.1
5.300	8.1
5.295	8.1
5.290	8.1
5.284	8.1
5.279	8.1
5.274	8.1
5.269	8.1
5.263	8.1
5.258	8.1
5.253	8.1
5.247	8.1
5.242	8.1
5.237	8.1
5.231	8.1
5.226	8.1
5.221	8.1
5.216	8.1
5.210	8.1
5.205	8.1
5.200	8.1
5.194	8.1
5.189	8.0
5.184	8.0
5.178	8.0
5.173	8.0
5.168	8.0
5.162	8.0
5.157	8.0
5.152	8.0
5.147	8.0
5.141	8.0
5.136	8.1
5.131	8.1
5.125	8.1
5.120	8.3
5.115	8.1
5.109	8.1
5.104	8.3
5.099	8.7
5.094	9.1
5.088	9.4
5.083	9.6
5.078	9.7
5.072	9.7
5.067	9.7
5.062	9.7
5.056	9.7
5.051	9.6
5.046	9.6
5.040	9.3
5.035	9.3
5.030	9.3
5.025	9.7
5.019	9.7
5.014	10.1
5.009	10.5
5.003	10.9
4.998	10.9
4.993	10.9
4.987	10.9
4.982	10.9
4.977	10.5
4.971	10.1
4.966	9.8
4.961	9.7
4.956	9.8
4.950	10.3
4.945	10.7
4.940	11.3
4.934	12.0
4.929	12.6
4.924	13.0
4.918	13.2
4.913	13.2
4.908	13.2
4.902	12.8
4.897	12.0
4.892	11.4
4.887	11.0
4.881	11.0
4.876	11.3
4.871	11.9
4.865	12.7
4.860	13.5
4.855	14.4
4.849	15.2
4.844	15.5
4.839	15.5
4.833	15.3
4.828	15.2
4.823	14.6
4.818	13.5
4.812	12.7
4.807	12.2
4.802	12.2
4.796	12.7
4.791	13.7
4.786	14.8
