&a / °	I1 / %
5.459	0.5
5.454	0.5
5.449	0.4
5.443	0.5
5.438	0.5
5.433	0.4
5.428	0.4
5.422	0.4
5.417	0.4
5.412	0.4
5.406	0.4
5.401	0.4
5.396	0.4
5.390	0.4
5.385	0.5
5.380	0.5
5.375	0.5
5.369	0.5
5.364	0.5
5.359	0.5
5.353	0.5
5.348	0.5
5.343	0.5
5.337	0.5
5.332	0.5
5.327	0.4
5.322	0.5
5.316	0.5
5.311	0.5
5.306	0.5
5.300	0.5
5.295	0.5
5.290	0.5
5.284	0.5
5.279	0.5
5.274	0.5
5.269	0.5
5.263	0.5
5.258	0.5
5.253	0.5
5.247	0.5
5.242	0.5
5.237	0.6
5.231	0.6
5.226	0.6
5.221	0.6
5.216	0.6
5.210	0.6
5.205	0.6
5.200	0.5
5.194	0.5
5.189	0.5
5.184	0.5
5.178	0.5
5.173	0.5
5.168	0.5
5.162	0.5
5.157	0.5
5.152	0.5
5.147	0.5
5.141	0.5
5.136	0.5
5.131	0.5
5.125	0.5
5.120	0.6
5.115	0.5
5.109	0.5
5.104	0.5
5.099	0.7
5.094	1.1
5.088	1.4
5.083	1.7
5.078	1.7
5.072	1.6
5.067	1.4
5.062	1.2
5.056	1.2
5.051	1.1
5.046	1.0
5.040	0.9
5.035	0.9
5.030	0.9
5.025	1.3
5.019	1.7
5.014	2.2
5.009	2.6
5.003	2.6
4.998	2.5
4.993	2.1
4.987	1.7
4.982	1.5
4.977	1.3
4.971	1.3
4.966	1.3
4.961	1.3
4.956	1.3
4.950	1.7
4.945	2.1
4.940	2.9
4.934	3.6
4.929	4.2
4.924	4.1
4.918	3.5
4.913	3.0
4.908	2.5
4.902	2.1
4.897	1.7
4.892	1.7
4.887	1.7
4.881	1.7
4.876	1.8
4.871	2.2
4.865	3.0
4.860	4.2
4.855	5.4
4.849	5.8
4.844	5.4
4.839	4.5
4.833	3.7
4.828	2.9
4.823	2.5
4.818	2.2
4.812	2.2
4.807	2.1
4.802	2.1
4.796	2.4
