a	I1
5.459	1.2
5.454	1.2
5.449	1.2
5.443	1.2
5.438	1.2
5.433	1.2
5.428	1.2
5.422	1.2
5.417	1.2
5.412	1.2
5.406	1.2
5.401	1.2
5.396	1.2
5.390	1.2
5.385	1.6
5.380	1.6
5.375	1.6
5.369	1.6
5.364	1.6
5.359	1.6
5.353	1.6
5.348	1.6
5.343	1.6
5.337	1.6
5.332	1.6
5.327	1.6
5.322	1.6
5.316	1.6
5.311	1.6
5.306	1.6
5.300	1.6
5.295	1.6
5.290	1.6
5.284	1.6
5.279	1.6
5.274	1.6
5.269	1.6
5.263	1.6
5.258	1.6
5.253	1.6
5.247	1.6
5.242	1.6
5.237	1.6
5.231	1.6
5.226	1.6
5.221	1.6
5.216	1.6
5.210	1.6
5.205	1.6
5.200	1.6
5.194	1.6
5.189	1.6
5.184	1.6
5.178	1.6
5.173	1.6
5.168	1.6
5.162	1.6
5.157	1.6
5.152	1.6
5.147	1.6
5.141	1.6
5.136	1.6
5.131	1.6
5.125	1.6
5.120	2.0
5.115	1.6
5.109	1.6
5.104	1.6
5.099	2.0
5.094	2.4
5.088	2.8
5.083	2.8
5.078	3.2
5.072	2.8
5.067	2.8
5.062	2.4
5.056	2.4
5.051	2.4
5.046	2.4
5.040	2.4
5.035	2.4
5.030	2.4
5.025	2.4
5.019	2.8
5.014	3.2
5.009	3.6
5.003	4.0
4.998	3.6
4.993	3.2
4.987	3.2
4.982	2.8
4.977	2.4
4.971	2.4
4.966	2.4
4.961	2.4
4.956	2.4
4.950	2.4
4.945	2.8
4.940	3.6
4.934	4.4
4.929	5.2
4.924	4.8
4.918	4.4
4.913	3.6
4.908	3.6
4.902	3.2
4.897	2.8
4.892	2.8
4.887	2.8
4.881	2.8
4.876	2.8
4.871	3.2
4.865	4.0
4.860	5.2
4.855	6.4
4.849	6.8
4.844	6.4
4.839	5.6
4.833	4.8
4.828	4.0
4.823	3.6
4.818	3.2
4.812	3.2
4.807	3.2
4.802	3.2
4.796	3.2
4.791	4.0
4.786	5.2
4.780	7.6
4.775	9.2
4.770	9.2
4.764	8.0
4.759	6.8
4.754	5.6
4.748	4.8
4.743	4.0
4.738	3.6
4.733	3.6
4.727	3.6
4.722	3.6
4.717	4.0
4.711	4.4
4.706	6.0
4.701	8.0
4.695	10.4
4.690	11.2
4.685	10.4
4.679	8.4
4.674	6.4
4.669	5.6
4.663	4.8
4.658	4.4
4.653	4.0
4.648	4.0
4.642	4.0
4.637	4.4
4.632	5.2
4.626	6.4
4.621	8.8
4.616	12.0
4.610	14.0
4.605	13.2
4.600	11.2
4.594	8.8
4.589	7.2
4.584	6.0
4.578	5.2
4.573	4.4
4.568	4.4
4.563	4.4
4.557	4.4
4.552	4.8
4.547	6.0
4.541	8.4
4.536	11.6
4.531	15.2
4.525	16.4
4.520	14.8
4.515	12.0
4.509	9.2
4.504	7.2
4.499	6.0
4.493	5.2
4.488	4.8
4.483	4.4
4.478	4.4
4.472	4.4
4.467	5.2
4.462	7.2
4.456	10.0
4.451	14.0
4.446	18.0
4.440	20.8
4.435	17.6
4.430	14.0
4.424	10.8
4.419	8.4
4.414	6.8
4.408	5.6
4.403	5.2
4.398	4.8
4.392	4.8
4.387	5.2
4.382	6.0
4.377	7.6
4.371	10.4
4.366	14.4
4.361	18.8
4.355	20.8
4.350	19.6
4.345	16.4
4.339	12.8
4.334	10.4
4.329	8.0
4.323	6.8
4.318	6.0
4.313	5.2
4.307	4.8
4.302	5.2
4.297	5.6
4.291	6.8
4.286	9.2
4.281	13.6
4.275	18.8
4.270	22.8
4.265	23.2
4.260	20.4
4.254	16.0
4.249	12.4
4.244	9.6
4.238	8.0
