a	I1
5.459	7.5
5.454	7.4
5.449	7.4
5.443	7.4
5.438	7.4
5.433	7.4
5.428	7.4
5.422	7.4
5.417	7.4
5.412	7.4
5.406	7.4
5.401	7.4
5.396	7.4
5.390	7.4
5.385	7.6
5.380	7.6
5.375	7.6
5.369	7.6
5.364	7.7
5.359	7.7
5.353	7.7
5.348	7.7
5.343	7.6
5.337	7.6
5.332	7.5
5.327	7.5
5.322	7.6
5.316	7.6
5.311	7.7
5.306	7.7
5.300	7.8
5.295	7.8
5.290	7.8
5.284	7.8
5.279	7.8
5.274	7.8
5.269	7.8
5.263	7.8
5.258	7.8
5.253	7.8
5.247	7.9
5.242	7.9
5.237	7.9
5.231	7.9
5.226	7.9
5.221	7.9
5.216	8.0
5.210	8.0
5.205	8.0
5.200	8.0
5.194	7.8
5.189	7.8
5.184	7.8
5.178	7.7
5.173	7.7
5.168	7.7
5.162	7.7
5.157	7.7
5.152	7.7
5.147	7.7
5.141	7.7
5.136	7.8
5.131	7.8
5.125	7.8
5.120	8.1
5.115	8.0
5.109	8.1
5.104	8.1
5.099	8.5
5.094	8.9
5.088	9.2
5.083	9.4
5.078	9.6
5.072	9.6
5.067	9.7
5.062	9.7
5.056	9.7
5.051	9.5
5.046	9.4
5.040	9.2
5.035	9.2
5.030	9.2
5.025	9.5
5.019	9.7
5.014	10.0
5.009	10.4
5.003	10.6
4.998	10.7
4.993	10.7
4.987	10.7
4.982	10.6
4.977	10.3
4.971	10.1
4.966	9.8
4.961	9.8
4.956	9.9
4.950	10.3
4.945	10.7
4.940	11.2
4.934	11.8
4.929	12.4
4.924	12.8
4.918	13.0
4.913	13.0
4.908	13.0
4.902	12.6
4.897	12.0
4.892	11.4
4.887	11.1
4.881	11.1
4.876	11.4
4.871	12.1
4.865	12.8
4.860	13.5
4.855	14.3
4.849	15.1
4.844	15.4
4.839	15.2
4.833	15.1
4.828	15.1
4.823	14.6
4.818	13.7
4.812	12.8
4.807	12.2
4.802	12.2
4.796	12.8
4.791	13.9
4.786	14.9
