U_B / V	U_A / V	U_A1 / V
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.01	0.01
0.05	0.01	0.01
0.20	0.00	0.00
0.40	0.00	0.00
0.60	0.00	0.00
0.80	0.00	0.00
0.95	0.00	0.00
1.15	0.00	0.00
1.35	0.00	0.00
1.50	0.00	0.00
1.70	0.01	0.01
1.90	0.00	0.00
2.10	0.01	0.01
2.30	0.00	0.00
2.45	0.00	0.00
2.65	0.00	0.00
2.80	0.01	0.01
3.00	0.00	0.00
3.15	0.01	0.01
3.40	0.00	0.00
3.55	0.01	0.01
3.80	0.00	0.00
3.95	0.00	0.00
4.15	-0.01	-0.01
4.30	0.00	0.00
4.50	0.00	0.00
4.70	0.01	0.01
4.85	-0.01	-0.01
5.05	0.01	0.01
5.25	0.00	0.00
5.45	0.01	0.01
5.60	0.00	0.00
5.80	0.01	0.01
6.00	0.00	0.00
6.15	0.01	0.01
6.35	0.01	0.01
6.55	0.01	0.01
6.75	0.00	0.00
6.90	0.01	0.01
7.10	0.01	0.01
7.25	0.01	0.01
7.45	0.00	0.00
7.65	0.01	0.01
7.85	0.01	0.01
8.05	0.01	0.01
8.20	0.01	0.01
8.40	0.01	0.01
8.60	0.00	0.00
8.75	0.00	0.00
8.95	0.00	0.00
9.15	0.00	0.00
9.35	0.00	0.00
9.50	0.00	0.00
9.70	0.00	0.00
9.90	0.00	0.00
10.05	0.01	0.01
10.25	0.00	0.00
10.45	0.01	0.01
10.65	0.01	0.01
10.80	0.02	0.02
11.00	0.03	0.03
11.20	0.05	0.05
11.40	0.06	0.06
11.55	0.08	0.08
11.75	0.08	0.08
11.90	0.08	0.08
12.10	0.07	0.07
12.30	0.07	0.07
12.45	0.05	0.05
12.70	0.05	0.05
12.90	0.03	0.03
13.10	0.03	0.03
13.25	0.02	0.02
13.45	0.02	0.02
13.60	0.01	0.01
13.80	0.02	0.02
14.00	0.01	0.01
14.15	0.02	0.02
14.35	0.01	0.01
14.55	0.01	0.01
14.75	0.01	0.01
14.90	0.01	0.01
15.10	0.01	0.01
15.30	0.03	0.03
15.50	0.05	0.05
15.65	0.09	0.09
15.85	0.13	0.13
16.05	0.19	0.19
16.25	0.24	0.24
16.40	0.31	0.31
16.60	0.34	0.34
16.80	0.34	0.34
16.95	0.30	0.30
17.15	0.24	0.24
17.30	0.19	0.19
17.50	0.15	0.15
17.70	0.10	0.10
17.90	0.08	0.08
18.05	0.06	0.06
18.25	0.04	0.04
18.45	0.03	0.03
18.65	0.02	0.02
18.80	0.02	0.02
19.00	0.01	0.01
19.20	0.01	0.01
19.35	0.01	0.01
19.55	0.01	0.01
19.75	0.01	0.01
19.95	0.03	0.03
20.15	0.05	0.05
20.35	0.10	0.10
20.50	0.15	0.15
20.70	0.25	0.25
20.90	0.33	0.33
21.10	0.46	0.46
21.25	0.57	0.57
21.45	0.67	0.67
21.65	0.68	0.68
21.80	0.64	0.64
22.00	0.52	0.52
22.20	0.44	0.44
22.40	0.32	0.32
22.55	0.25	0.25
22.75	0.17	0.17
22.95	0.13	0.13
23.10	0.08	0.08
23.30	0.06	0.06
23.50	0.04	0.04
23.65	0.04	0.04
23.85	0.02	0.02
24.05	0.02	0.02
24.20	0.01	0.01
24.40	0.02	0.02
24.60	0.02	0.02
24.80	0.05	0.05
24.95	0.09	0.09
25.15	0.16	0.16
25.35	0.24	0.24
25.55	0.37	0.37
