U_B / V	U_A / V	U_A1 / V
0.05	0.01	0.01
0.05	0.01	0.01
0.05	0.01	0.01
0.05	0.01	0.01
0.05	0.01	0.01
0.05	0.01	0.01
0.05	0.01	0.01
0.05	0.01	0.01
0.05	0.01	0.01
0.05	0.01	0.01
0.15	0.02	0.02
0.35	0.01	0.01
0.50	0.02	0.02
0.70	0.01	0.01
0.90	0.02	0.02
1.10	0.01	0.01
1.30	0.02	0.02
1.45	0.01	0.01
1.65	0.02	0.02
1.85	0.01	0.01
2.05	0.02	0.02
2.25	0.01	0.01
2.45	0.02	0.02
2.65	0.01	0.01
2.80	0.02	0.02
3.00	0.01	0.01
3.20	0.01	0.01
3.35	0.01	0.01
3.55	0.01	0.01
3.75	0.01	0.01
3.95	0.01	0.01
4.15	0.01	0.01
4.35	0.01	0.01
4.50	0.01	0.01
4.70	0.01	0.01
4.90	0.01	0.01
5.10	0.01	0.01
5.30	0.01	0.01
5.45	0.01	0.01
5.65	0.01	0.01
5.85	0.01	0.01
6.05	0.02	0.02
6.25	0.02	0.02
6.45	0.04	0.04
6.60	0.03	0.03
6.80	0.05	0.05
6.95	0.04	0.04
7.20	0.05	0.05
7.35	0.04	0.04
7.55	0.05	0.05
7.75	0.04	0.04
7.95	0.04	0.04
8.15	0.03	0.03
8.35	0.04	0.04
8.55	0.03	0.03
8.70	0.04	0.04
8.90	0.04	0.04
9.10	0.06	0.06
9.30	0.07	0.07
9.50	0.10	0.10
9.70	0.11	0.11
9.85	0.15	0.15
10.05	0.18	0.18
10.25	0.23	0.23
10.45	0.26	0.26
10.65	0.32	0.32
10.80	0.38	0.38
11.00	0.46	0.46
11.20	0.53	0.53
11.40	0.60	0.60
11.60	0.62	0.62
11.75	0.60	0.60
11.95	0.52	0.52
12.15	0.45	0.45
12.35	0.38	0.38
12.55	0.31	0.31
12.75	0.25	0.25
12.95	0.20	0.20
13.10	0.17	0.17
13.30	0.15	0.15
13.50	0.15	0.15
13.70	0.17	0.17
13.85	0.19	0.19
14.10	0.23	0.23
14.25	0.29	0.29
14.45	0.36	0.36
14.65	0.44	0.44
14.85	0.54	0.54
15.05	0.65	0.65
15.20	0.76	0.76
15.40	0.91	0.91
15.60	1.04	1.04
15.80	1.20	1.20
16.00	1.35	1.35
16.20	1.54	1.54
16.35	1.64	1.64
16.55	1.63	1.63
16.75	1.46	1.46
16.95	1.18	1.18
17.10	0.95	0.95
17.30	0.75	0.75
17.50	0.54	0.54
17.70	0.41	0.41
17.90	0.32	0.32
18.10	0.28	0.28
18.30	0.27	0.27
18.45	0.29	0.29
18.65	0.35	0.35
18.85	0.43	0.43
19.05	0.52	0.52
19.25	0.65	0.65
19.40	0.79	0.79
19.60	0.98	0.98
19.80	1.16	1.16
20.00	1.40	1.40
20.20	1.62	1.62
20.40	1.90	1.90
20.55	2.16	2.16
20.75	2.44	2.44
20.95	2.75	2.75
21.15	2.97	2.97
21.35	3.11	3.11
21.50	2.98	2.98
21.70	2.58	2.58
21.90	2.14	2.14
22.10	1.68	1.68
22.30	1.31	1.31
22.45	0.96	0.96
22.65	0.70	0.70
22.85	0.56	0.56
23.05	0.48	0.48
23.25	0.47	0.47
23.45	0.53	0.53
23.60	0.63	0.63
23.80	0.79	0.79
24.00	0.97	0.97
24.20	1.20	1.20
24.40	1.46	1.46
24.55	1.72	1.72
24.80	2.07	2.07
24.95	2.38	2.38
25.15	2.77	2.77
25.35	3.14	3.14
25.55	3.62	3.62
25.75	4.05	4.05
25.95	4.52	4.52
26.10	4.80	4.80
26.30	4.87	4.87
26.50	4.64	4.64
26.70	4.18	4.18
26.85	3.55	3.55
27.05	2.99	2.99
27.25	2.31	2.31
27.45	1.76	1.76
27.65	1.33	1.33
27.85	1.09	1.09
28.00	0.93	0.93
28.20	0.88	0.88
28.40	0.94	0.94
28.60	1.07	1.07
28.80	1.27	1.27
28.95	1.55	1.55
29.15	1.85	1.85
29.35	2.25	2.25
29.55	2.64	2.64
29.70	3.06	3.06
29.90	3.60	3.60
30.10	4.11	4.11
30.30	4.71	4.71
30.50	5.25	5.25
30.70	5.92	5.92
30.85	6.48	6.48
31.05	6.95	6.95
31.25	7.07	7.07
31.45	6.83	6.83
31.65	6.40	6.40
31.80	5.79	5.79
32.00	4.98	4.98
32.20	4.17	4.17
32.40	3.36	3.36
32.60	2.81	2.81
32.80	2.27	2.27
32.95	1.93	1.93
33.15	1.76	1.76
33.35	1.77	1.77
33.55	1.86	1.86
33.75	2.10	2.10
33.90	2.39	2.39
34.10	2.84	2.84
34.30	3.32	3.32
34.50	3.96	3.96
34.70	4.61	4.61
34.90	5.35	5.35
35.05	6.11	6.11
35.25	6.90	6.90
35.45	7.84	7.84
35.65	8.68	8.68
35.85	9.54	9.54
36.05	10.15	10.15
36.20	10.24	10.24
36.40	10.24	10.24
36.60	10.23	10.23
36.80	9.70	9.70
36.95	8.90	8.90
37.15	7.79	7.79
37.35	6.85	6.85
37.55	5.87	5.87
37.75	5.13	5.13
37.95	4.45	4.45
38.15	4.11	4.11
38.35	3.92	3.92
38.50	3.92	3.92
38.75	4.17	4.17
38.90	4.59	4.59
39.10	5.07	5.07
39.30	5.79	5.79
39.50	6.60	6.60
39.70	7.73	7.73
39.70	7.79	7.79
39.70	7.80	7.80
39.70	7.83	7.83
39.70	7.84	7.84
39.70	7.84	7.84
