U_B	U_A	U_A1
0.00	-0.01	-0.01
0.00	-0.01	-0.01
0.05	-0.01	-0.01
0.00	-0.01	-0.01
0.00	-0.01	-0.01
0.05	-0.01	-0.01
0.05	-0.01	-0.01
0.05	-0.01	-0.01
0.05	-0.01	-0.01
0.05	-0.01	-0.01
0.05	-0.01	-0.01
0.05	-0.01	-0.01
0.05	-0.01	-0.01
0.10	-0.01	-0.01
0.25	-0.01	-0.01
0.45	-0.01	-0.01
0.65	-0.01	-0.01
0.85	-0.01	-0.01
1.05	0.00	0.00
1.20	-0.01	-0.01
1.40	-0.01	-0.01
1.60	-0.01	-0.01
1.75	-0.01	-0.01
1.95	-0.01	-0.01
2.15	-0.01	-0.01
2.30	-0.01	-0.01
2.50	-0.01	-0.01
2.70	-0.01	-0.01
2.85	-0.01	-0.01
3.05	-0.01	-0.01
3.25	-0.01	-0.01
3.45	-0.01	-0.01
3.60	-0.01	-0.01
3.80	-0.01	-0.01
4.00	-0.01	-0.01
4.15	-0.01	-0.01
4.35	-0.01	-0.01
4.55	-0.01	-0.01
4.75	-0.01	-0.01
4.90	0.00	0.00
5.10	-0.01	-0.01
5.30	0.00	0.00
5.45	0.00	0.00
5.65	0.00	0.00
5.85	0.01	0.01
6.00	0.02	0.02
6.25	0.02	0.02
6.40	0.03	0.03
6.55	0.03	0.03
6.75	0.04	0.04
6.95	0.05	0.05
7.15	0.05	0.05
7.30	0.05	0.05
7.50	0.05	0.05
7.70	0.05	0.05
7.90	0.05	0.05
8.05	0.04	0.04
8.30	0.04	0.04
8.45	0.03	0.03
8.65	0.03	0.03
8.85	0.03	0.03
9.00	0.02	0.02
9.20	0.02	0.02
9.40	0.02	0.02
9.55	0.02	0.02
9.75	0.03	0.03
9.95	0.03	0.03
10.15	0.05	0.05
10.30	0.06	0.06
10.50	0.08	0.08
10.70	0.10	0.10
10.85	0.12	0.12
11.05	0.16	0.16
11.25	0.19	0.19
11.45	0.22	0.22
11.60	0.24	0.24
11.80	0.25	0.25
12.00	0.23	0.23
12.15	0.21	0.21
12.35	0.18	0.18
12.55	0.16	0.16
12.75	0.13	0.13
12.90	0.11	0.11
13.10	0.08	0.08
13.30	0.07	0.07
13.50	0.05	0.05
13.65	0.04	0.04
13.85	0.03	0.03
14.05	0.04	0.04
14.20	0.04	0.04
14.45	0.06	0.06
14.60	0.07	0.07
14.80	0.11	0.11
14.95	0.14	0.14
15.15	0.19	0.19
15.35	0.24	0.24
15.55	0.31	0.31
15.70	0.37	0.37
15.90	0.46	0.46
16.10	0.54	0.54
16.25	0.62	0.62
16.45	0.68	0.68
16.65	0.68	0.68
16.85	0.61	0.61
17.00	0.52	0.52
17.20	0.42	0.42
17.35	0.34	0.34
17.60	0.25	0.25
17.75	0.19	0.19
17.95	0.14	0.14
18.10	0.10	0.10
18.30	0.08	0.08
18.50	0.06	0.06
18.70	0.06	0.06
18.85	0.07	0.07
19.05	0.09	0.09
19.25	0.13	0.13
19.40	0.17	0.17
19.60	0.23	0.23
19.80	0.31	0.31
20.00	0.41	0.41
20.15	0.51	0.51
