U_B / V	U_A / V	U_A1 / V
0.00	-0.02	-0.02
0.00	-0.01	-0.01
0.00	-0.02	-0.02
0.05	-0.01	-0.01
0.00	-0.02	-0.02
0.00	-0.01	-0.01
0.05	-0.02	-0.02
0.00	-0.01	-0.01
0.00	-0.02	-0.02
0.20	-0.01	-0.01
0.35	-0.02	-0.02
0.55	-0.01	-0.01
0.75	-0.02	-0.02
0.90	-0.01	-0.01
1.10	-0.02	-0.02
1.30	-0.01	-0.01
1.45	-0.02	-0.02
1.65	-0.01	-0.01
1.85	-0.01	-0.01
2.05	-0.01	-0.01
2.20	-0.02	-0.02
2.40	-0.01	-0.01
2.60	-0.02	-0.02
2.80	-0.01	-0.01
2.95	-0.02	-0.02
3.15	-0.01	-0.01
3.30	-0.02	-0.02
3.50	-0.02	-0.02
3.70	-0.02	-0.02
3.85	-0.02	-0.02
4.05	-0.02	-0.02
4.25	-0.02	-0.02
4.45	-0.01	-0.01
4.60	-0.02	-0.02
4.80	-0.02	-0.02
5.00	-0.02	-0.02
5.20	-0.01	-0.01
5.35	-0.02	-0.02
5.50	-0.01	-0.01
5.75	-0.01	-0.01
5.90	-0.01	-0.01
6.10	-0.01	-0.01
6.30	0.00	0.00
6.50	0.00	0.00
6.65	0.01	0.01
6.85	0.01	0.01
7.05	0.02	0.02
7.25	0.02	0.02
7.40	0.02	0.02
7.60	0.02	0.02
7.80	0.03	0.03
7.95	0.02	0.02
8.15	0.02	0.02
8.35	0.02	0.02
8.55	0.02	0.02
8.70	0.01	0.01
8.90	0.02	0.02
9.10	0.01	0.01
9.25	0.01	0.01
9.45	0.01	0.01
9.65	0.01	0.01
9.85	0.01	0.01
10.00	0.01	0.01
10.20	0.02	0.02
10.40	0.02	0.02
10.55	0.03	0.03
10.75	0.04	0.04
10.95	0.05	0.05
11.15	0.07	0.07
11.30	0.09	0.09
11.50	0.10	0.10
11.70	0.12	0.12
11.85	0.12	0.12
12.05	0.13	0.13
12.25	0.12	0.12
12.40	0.11	0.11
12.60	0.10	0.10
12.80	0.09	0.09
13.00	0.07	0.07
13.15	0.06	0.06
13.40	0.05	0.05
13.55	0.04	0.04
13.75	0.03	0.03
13.90	0.02	0.02
14.15	0.02	0.02
14.30	0.02	0.02
14.50	0.02	0.02
14.65	0.04	0.04
14.85	0.05	0.05
15.05	0.07	0.07
15.20	0.09	0.09
15.40	0.13	0.13
15.60	0.16	0.16
15.80	0.21	0.21
15.95	0.25	0.25
16.15	0.31	0.31
16.35	0.35	0.35
16.55	0.38	0.38
16.70	0.38	0.38
16.90	0.35	0.35
17.10	0.31	0.31
17.25	0.26	0.26
17.45	0.21	0.21
17.65	0.17	0.17
17.85	0.13	0.13
18.00	0.10	0.10
18.20	0.07	0.07
18.40	0.05	0.05
18.60	0.04	0.04
18.75	0.03	0.03
18.95	0.04	0.04
19.15	0.04	0.04
19.35	0.06	0.06
19.50	0.09	0.09
19.70	0.13	0.13
19.90	0.17	0.17
20.05	0.23	0.23
20.25	0.29	0.29
20.45	0.36	0.36
20.65	0.46	0.46
20.85	0.55	0.55
21.05	0.64	0.64
21.20	0.72	0.72
21.40	0.77	0.77
21.60	0.77	0.77
21.75	0.69	0.69
21.95	0.58	0.58
22.15	0.47	0.47
22.35	0.37	0.37
22.50	0.28	0.28
22.70	0.21	0.21
22.85	0.15	0.15
23.05	0.11	0.11
23.25	0.07	0.07
23.45	0.06	0.06
23.60	0.05	0.05
23.80	0.06	0.06
24.00	0.08	0.08
24.20	0.12	0.12
24.35	0.17	0.17
24.55	0.24	0.24
24.75	0.31	0.31
24.90	0.41	0.41
25.10	0.52	0.52
25.30	0.63	0.63
25.45	0.78	0.78
25.65	0.92	0.92
25.85	1.08	1.08
26.05	1.19	1.19
26.25	1.28	1.28
26.40	1.26	1.26
26.60	1.16	1.16
26.75	0.99	0.99
26.95	0.80	0.80
27.15	0.62	0.62
27.30	0.48	0.48
27.50	0.33	0.33
27.70	0.24	0.24
27.90	0.16	0.16
28.05	0.12	0.12
28.30	0.08	0.08
28.45	0.08	0.08
28.65	0.09	0.09
28.80	0.13	0.13
29.00	0.19	0.19
29.15	0.26	0.26
29.35	0.35	0.35
29.55	0.47	0.47
29.70	0.59	0.59
29.95	0.77	0.77
30.10	0.94	0.94
30.30	1.13	1.13
30.45	1.32	1.32
30.70	1.56	1.56
30.85	1.71	1.71
31.05	1.87	1.87
31.25	1.89	1.89
31.45	1.79	1.79
31.60	1.58	1.58
31.80	1.35	1.35
32.00	1.09	1.09
32.15	0.86	0.86
32.35	0.62	0.62
32.55	0.47	0.47
32.75	0.33	0.33
32.90	0.23	0.23
33.10	0.17	0.17
33.30	0.15	0.15
33.50	0.16	0.16
33.65	0.20	0.20
33.85	0.27	0.27
34.05	0.36	0.36
34.20	0.48	0.48
34.40	0.65	0.65
34.60	0.80	0.80
34.80	1.04	1.04
35.00	1.26	1.26
35.15	1.54	1.54
35.35	1.80	1.80
35.55	2.10	2.10
35.70	2.35	2.35
35.90	2.56	2.56
36.10	2.64	2.64
36.30	2.57	2.57
36.45	2.41	2.41
36.60	2.15	2.15
36.85	1.81	1.81
37.00	1.50	1.50
37.20	1.17	1.17
37.40	0.90	0.90
37.60	0.65	0.65
37.75	0.50	0.50
37.95	0.37	0.37
38.15	0.30	0.30
38.30	0.29	0.29
38.50	0.31	0.31
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
38.70	0.38	0.38
