U_B / V	U_A / V	U_A1 / V
0.05	-0.01	-0.01
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.01	0.01
0.00	0.00	0.00
0.00	0.01	0.01
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.00	0.00
0.20	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	-0.01	-0.01
0.05	0.00	0.00
0.05	-0.01	-0.01
0.05	0.00	0.00
0.05	-0.01	-0.01
0.05	0.00	0.00
0.05	-0.01	-0.01
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.01	0.01
0.05	-0.01	-0.01
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.00	0.01	0.01
0.05	0.00	0.00
0.05	0.00	0.00
0.00	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.00	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.00	-0.01	-0.01
0.05	0.00	0.00
0.05	-0.01	-0.01
0.00	0.00	0.00
0.05	-0.01	-0.01
0.05	0.00	0.00
0.05	-0.01	-0.01
0.05	0.00	0.00
0.05	-0.01	-0.01
0.05	0.00	0.00
0.00	-0.01	-0.01
0.05	0.00	0.00
0.05	-0.01	-0.01
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.05	0.01	0.01
0.05	0.00	0.00
0.00	0.01	0.01
0.00	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.00	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.05	0.00	0.00
0.20	0.00	0.00
0.40	0.00	0.00
0.60	0.00	0.00
0.80	0.00	0.00
0.95	0.00	0.00
1.15	0.00	0.00
1.35	0.00	0.00
1.50	0.00	0.00
1.70	0.00	0.00
1.90	0.00	0.00
2.10	-0.01	-0.01
2.25	0.00	0.00
2.45	-0.01	-0.01
2.65	0.00	0.00
