a	I
2.736	20.0
2.733	20.0
2.731	20.0
2.728	20.0
2.725	19.9
2.723	19.9
2.720	19.9
2.717	19.9
2.715	19.9
2.712	20.0
2.709	20.0
2.707	19.9
2.704	19.9
2.701	20.0
2.699	19.9
2.696	19.9
2.693	20.0
2.691	20.0
2.688	20.0
2.685	20.0
2.683	20.0
2.680	20.0
2.677	20.0
2.675	20.0
2.672	20.0
2.669	20.0
2.667	20.0
2.664	20.0
2.661	20.0
2.659	20.0
2.656	20.0
2.653	20.0
2.651	20.0
2.648	20.0
2.645	20.0
2.643	20.0
2.640	20.0
2.637	20.0
2.635	20.0
2.632	20.0
2.629	20.0
2.627	20.0
2.624	20.0
2.621	20.0
2.619	20.0
2.616	20.0
2.613	20.0
2.610	20.0
2.608	20.0
2.605	20.0
2.602	20.0
2.600	20.0
2.597	20.0
2.594	20.1
2.592	20.0
2.589	20.0
2.586	20.0
2.584	20.0
2.581	20.0
2.578	20.0
2.576	20.0
2.573	20.0
2.570	20.0
2.568	20.0
2.565	20.0
2.562	20.0
2.560	20.0
2.557	20.0
2.554	20.0
2.552	20.0
2.549	20.0
2.546	20.0
2.544	20.0
2.541	20.0
2.538	20.0
2.536	20.0
2.533	20.0
2.530	20.0
2.528	20.0
2.525	20.0
2.522	20.1
2.520	20.1
2.517	20.1
2.514	20.1
2.512	20.1
2.509	20.1
2.506	20.1
2.504	20.1
2.501	20.1
2.498	20.1
2.496	20.1
2.493	20.1
2.490	20.0
2.488	20.0
2.485	20.0
2.482	20.1
2.480	20.1
2.477	20.1
2.474	20.1
2.472	20.1
2.469	20.1
2.466	20.1
2.464	20.1
2.461	20.1
2.458	20.1
2.456	20.1
2.453	20.1
2.450	20.1
2.448	20.1
2.445	20.2
2.442	20.2
2.440	20.2
2.437	20.2
2.434	20.2
2.432	20.2
2.429	20.2
2.426	20.2
2.424	20.2
2.421	20.2
2.418	20.2
2.416	20.2
2.413	20.2
2.410	20.2
2.408	20.2
2.405	20.2
2.402	20.2
2.400	20.2
2.397	20.2
2.394	20.2
2.392	20.2
2.389	20.2
2.386	20.2
2.384	20.2
2.381	20.2
2.378	20.3
2.376	20.3
2.373	20.3
2.370	20.3
2.368	20.3
2.365	20.3
2.362	20.3
2.360	20.3
2.357	20.3
2.354	20.3
2.352	20.4
2.349	20.4
2.346	20.4
2.344	20.4
2.341	20.4
2.338	20.4
2.336	20.4
2.333	20.4
2.330	20.4
2.328	20.4
2.325	20.4
2.322	20.4
2.320	20.4
2.317	20.4
2.314	20.4
2.312	20.5
2.309	20.4
2.306	20.4
2.304	20.4
2.301	20.4
2.298	20.4
2.296	20.5
2.293	20.5
2.290	20.5
2.288	20.5
2.285	20.5
2.282	20.5
2.280	20.4
2.277	20.5
2.274	20.5
2.272	20.5
2.269	20.5
2.266	20.5
2.264	20.5
2.261	20.5
2.258	20.5
2.256	20.5
2.253	20.5
2.250	20.5
2.248	20.5
2.245	20.5
2.242	20.5
2.240	20.5
2.237	20.5
2.234	20.6
2.231	20.6
2.229	20.5
2.226	20.5
2.223	20.5
2.221	20.5
2.218	20.6
2.215	20.6
2.213	20.6
2.210	20.6
2.207	20.6
2.205	20.6
2.202	20.6
2.199	20.6
2.197	20.6
2.194	20.6
2.191	20.6
2.189	20.6
2.186	20.6
2.183	20.6
2.181	20.6
2.178	20.6
2.175	20.6
2.173	20.6
2.170	20.6
2.167	20.6
2.165	20.6
2.162	20.6
2.159	20.6
2.157	20.6
2.154	20.6
2.151	20.6
2.149	20.6
2.146	20.6
2.143	20.6
2.141	20.6
2.138	20.6
2.135	20.6
2.133	20.6
2.130	20.6
2.127	20.7
2.125	20.7
2.122	20.7
2.119	20.7
2.117	20.7
2.114	20.7
2.111	20.7
2.109	20.7
2.106	20.7
2.103	20.7
2.101	20.7
2.098	20.7
2.095	20.7
2.093	20.7
2.090	20.7
2.087	20.7
2.085	20.7
2.082	20.7
2.079	20.7
2.077	20.7
2.074	20.7
2.071	20.7
2.069	20.7
2.066	20.7
2.063	20.7
2.061	20.7
2.058	20.7
2.055	20.7
2.053	20.7
2.050	20.7
2.047	20.7
2.045	20.7
2.042	20.7
2.039	20.7
2.037	20.7
2.034	20.7
2.031	20.7
2.029	20.7
2.026	20.7
2.023	20.7
2.021	20.7
2.018	20.7
2.015	20.7
2.013	20.7
2.010	20.7
2.007	20.7
2.005	20.7
2.002	20.7
1.999	20.7
1.997	20.7
1.994	20.7
1.991	20.7
1.989	20.7
1.986	20.7
1.983	20.7
1.980	20.7
1.978	20.7
1.975	20.7
1.972	20.7
1.970	20.7
1.967	20.7
1.964	20.7
1.962	20.7
1.959	20.7
1.956	20.7
1.954	20.7
1.951	20.7
1.948	20.7
1.946	20.7
1.943	20.7
1.940	20.7
1.938	20.7
1.935	20.7
1.932	20.7
1.930	20.7
1.927	20.7
1.924	20.7
1.922	20.7
1.919	20.7
1.916	20.7
1.914	20.7
1.911	20.7
1.908	20.7
1.906	20.7
1.903	20.7
1.900	20.7
1.898	20.7
1.895	20.7
1.892	20.7
1.890	20.7
1.887	20.7
1.884	20.7
1.882	20.7
1.879	20.7
1.876	20.7
1.874	20.7
1.871	20.7
1.868	20.7
1.866	20.7
1.863	20.7
1.860	20.7
1.858	20.7
1.855	20.7
1.852	20.7
1.850	20.7
1.847	20.7
1.844	20.7
1.842	20.7
1.839	20.7
1.836	20.7
1.834	20.7
1.831	20.7
1.828	20.7
1.826	20.7
1.823	20.7
1.820	20.7
1.818	20.8
1.815	20.8
1.812	20.8
1.810	20.8
1.807	20.8
1.804	20.8
1.802	20.8
1.799	20.8
1.796	20.8
1.794	20.8
1.791	20.8
1.788	20.8
1.786	20.8
1.783	20.8
1.780	20.8
1.778	20.8
1.775	20.8
1.772	20.8
1.769	20.8
1.767	20.8
1.764	20.9
1.761	20.9
