a	I
2.736	20.2
2.733	20.2
2.731	20.2
2.728	20.2
2.725	20.2
2.723	20.2
2.720	20.2
2.717	20.2
2.715	20.2
2.712	20.2
2.709	20.2
2.707	20.2
2.704	20.2
2.701	20.2
2.699	20.2
2.696	20.2
2.693	20.2
2.691	20.2
2.688	20.2
2.685	20.2
2.683	20.2
2.680	20.2
2.677	20.2
2.675	20.2
2.672	20.2
2.669	20.2
2.667	20.2
2.664	20.2
2.661	20.2
2.659	20.2
2.656	20.2
2.653	20.2
2.651	20.2
2.648	20.2
2.645	20.2
2.643	20.2
2.640	20.1
2.637	20.1
2.635	20.1
2.632	20.1
2.629	20.1
2.627	20.1
2.624	20.0
2.621	20.0
2.619	20.0
2.616	20.0
2.613	20.0
2.610	20.0
2.608	20.0
2.605	20.0
2.602	20.0
2.600	20.0
2.597	20.0
2.594	20.0
2.592	20.0
2.589	20.0
2.586	20.0
2.584	20.0
2.581	20.0
2.578	20.1
2.576	20.1
2.573	20.0
2.570	20.0
2.568	20.0
2.565	20.0
2.562	20.0
2.560	20.0
2.557	20.0
2.554	20.0
2.552	20.0
2.549	19.9
2.546	19.9
2.544	19.9
2.541	20.0
2.538	20.0
2.536	20.0
2.533	20.0
2.530	20.0
2.528	19.9
2.525	19.9
2.522	20.0
2.520	20.0
2.517	19.9
2.514	19.9
2.512	19.9
2.509	19.9
2.506	19.9
2.504	19.9
2.501	19.9
2.498	19.9
2.496	19.9
2.493	19.9
2.490	19.9
2.488	19.9
2.485	19.9
2.482	19.9
2.480	19.9
2.477	19.9
2.474	19.9
2.472	19.9
2.469	19.9
2.466	20.0
2.464	20.0
2.461	20.0
2.458	20.0
2.456	20.0
2.453	19.9
2.450	20.0
2.448	20.0
2.445	20.0
2.442	20.0
2.440	20.0
2.437	19.9
2.434	19.9
2.432	19.9
2.429	20.0
2.426	20.0
2.424	20.0
2.421	19.9
2.418	19.9
2.416	19.9
2.413	20.0
2.410	19.9
2.408	20.0
2.405	20.0
2.402	19.9
2.400	19.9
2.397	20.0
2.394	19.9
2.392	19.9
2.389	19.9
2.386	20.0
2.384	20.0
2.381	20.0
2.378	20.0
2.376	20.0
2.373	20.0
2.370	20.0
2.368	20.0
2.365	20.0
2.362	20.0
2.360	20.0
2.357	20.0
2.354	20.0
2.352	20.0
2.349	20.0
2.346	20.0
2.344	20.0
2.341	20.0
2.338	20.0
2.336	20.0
2.333	20.1
2.330	20.1
2.328	20.1
2.325	20.1
2.322	20.1
2.320	20.1
2.317	20.1
2.314	20.1
2.312	20.1
2.309	20.1
2.306	20.1
2.304	20.1
2.301	20.1
2.298	20.1
2.296	20.1
2.293	20.1
2.290	20.1
2.288	20.1
2.285	20.1
2.282	20.1
2.280	20.1
2.277	20.1
2.274	20.1
