&a / °	I1 / %
2.736	19.4
2.733	19.4
2.731	19.3
2.728	19.3
2.725	19.3
2.723	19.3
2.720	19.3
2.717	19.3
2.715	19.3
2.712	19.3
2.709	19.4
2.707	19.3
2.704	19.3
2.701	19.3
2.699	19.3
2.696	19.3
2.693	19.4
2.691	19.4
2.688	19.4
2.685	19.4
2.683	19.4
2.680	19.4
2.677	19.4
2.675	19.4
2.672	19.5
2.669	19.4
2.667	19.4
2.664	19.4
2.661	19.4
2.659	19.4
2.656	19.4
2.653	19.5
2.651	19.4
2.648	19.4
2.645	19.4
2.643	19.4
2.640	19.4
2.637	19.4
2.635	19.4
2.632	19.4
2.629	19.4
2.627	19.4
2.624	19.3
2.621	19.3
2.619	19.4
2.616	19.4
2.613	19.4
2.610	19.4
2.608	19.4
2.605	19.5
2.602	19.4
2.600	19.5
2.597	19.5
2.594	19.5
2.592	19.4
2.589	19.4
2.586	19.4
2.584	19.4
2.581	19.4
2.578	19.4
2.576	19.4
2.573	19.3
2.570	19.3
2.568	19.4
2.565	19.3
2.562	19.4
2.560	19.4
2.557	19.5
2.554	19.4
2.552	19.4
2.549	19.4
2.546	19.4
2.544	19.4
2.541	19.5
2.538	19.5
2.536	19.5
2.533	19.4
2.530	19.5
2.528	19.4
2.525	19.4
2.522	19.5
2.520	19.5
2.517	19.5
2.514	19.5
2.512	19.5
2.509	19.5
2.506	19.5
2.504	19.5
2.501	19.5
2.498	19.4
2.496	19.4
2.493	19.4
2.490	19.4
2.488	19.4
2.485	19.5
2.482	19.5
2.480	19.5
2.477	19.5
2.474	19.5
2.472	19.5
2.469	19.5
2.466	19.5
2.464	19.5
2.461	19.6
2.458	19.5
2.456	19.5
2.453	19.5
2.450	19.5
2.448	19.6
2.445	19.6
2.442	19.6
2.440	19.6
2.437	19.6
2.434	19.6
2.432	19.5
2.429	19.6
2.426	19.6
2.424	19.6
2.421	19.6
2.418	19.6
2.416	19.6
2.413	19.6
2.410	19.6
2.408	19.6
2.405	19.6
2.402	19.6
2.400	19.6
2.397	19.6
2.394	19.5
2.392	19.6
2.389	19.6
2.386	19.6
2.384	19.6
2.381	19.6
2.378	19.6
2.376	19.6
2.373	19.6
2.370	19.7
2.368	19.7
2.365	19.7
2.362	19.7
2.360	19.7
2.357	19.7
2.354	19.7
2.352	19.7
2.349	19.7
2.346	19.7
2.344	19.7
2.341	19.7
2.338	19.8
2.336	19.8
2.333	19.8
2.330	19.8
2.328	19.8
2.325	19.8
2.322	19.8
2.320	19.8
2.317	19.8
2.314	19.9
2.312	19.9
2.309	19.9
2.306	19.9
2.304	19.9
2.301	19.9
