n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	1
21	2
22	3
23	1
24	3
25	1
26	0
27	0
28	4
29	5
30	0
31	3
32	1
33	4
34	4
35	4
36	5
37	7
38	5
39	1
40	9
41	12
42	13
43	10
44	7
45	9
46	9
47	14
48	12
49	13
50	8
51	7
52	15
53	16
54	16
55	11
56	13
57	15
58	20
59	12
60	6
61	16
62	15
63	24
64	15
65	10
66	20
67	24
68	20
69	13
70	18
71	33
72	20
73	21
74	16
75	25
76	33
77	42
78	42
79	49
80	69
81	64
82	97
83	96
84	109
85	154
86	205
87	195
88	227
89	266
90	240
91	315
92	286
93	275
94	310
95	289
96	330
97	368
98	418
99	459
100	568
101	679
102	690
103	829
104	880
105	788
106	823
107	783
108	717
109	644
110	520
111	445
112	419
113	346
114	317
115	266
116	239
117	220
118	145
119	150
120	117
121	145
122	101
123	88
124	79
125	77
126	73
127	65
128	56
129	51
130	44
131	43
132	45
133	45
134	31
135	32
136	34
137	19
138	22
139	21
140	10
141	20
142	12
143	13
144	14
145	6
146	4
147	6
148	13
149	9
150	12
151	10
152	8
153	7
154	6
155	7
156	4
157	7
158	4
159	4
160	7
161	9
162	8
163	3
164	6
165	5
166	2
167	2
168	2
169	1
170	1
171	0
172	5
173	1
174	4
175	3
176	3
177	6
178	3
179	5
180	2
181	3
182	2
183	2
184	5
185	4
186	3
187	4
188	4
189	7
190	4
191	2
192	3
193	3
194	3
195	3
196	0
197	4
198	2
199	2
200	1
201	1
202	4
203	3
204	2
205	0
206	1
207	2
208	0
209	2
210	1
211	1
212	3
213	3
214	1
215	2
216	0
217	2
218	3
219	0
220	0
221	1
222	2
223	0
224	0
225	2
226	0
227	0
228	2
229	2
230	1
231	1
232	0
233	0
234	0
235	1
236	1
237	1
238	0
239	1
240	1
241	0
242	1
243	0
244	1
245	1
246	0
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	0
255	1
256	0
257	1
258	2
259	2
260	1
261	1
262	0
263	1
264	1
265	0
266	1
267	1
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	1
278	0
279	1
280	0
281	0
282	3
283	0
284	0
285	0
286	0
287	0
288	1
289	0
290	1
291	1
292	0
293	0
294	0
295	0
296	0
297	1
298	0
299	0
300	1
301	1
302	0
303	0
304	0
305	0
306	1
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	1
315	0
316	1
317	1
318	0
319	1
320	0
321	1
322	1
323	3
324	1
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	1
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	1
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	1
351	0
352	0
353	0
354	0
355	0
356	1
357	0
358	0
359	0
360	0
361	0
362	1
363	0
364	1
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	1
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	1
388	0
389	0
390	0
391	0
392	0
393	1
394	1
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	1
409	1
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	1
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	1
431	1
432	0
433	0
434	0
435	1
436	0
437	0
438	0
439	1
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	1
482	0
483	0
484	0
485	0
486	0
487	1
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	3
