n_3	N_3
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	1
15	24
16	37
17	39
18	41
19	80
20	102
21	169
22	227
23	316
24	331
25	387
26	322
27	361
28	305
29	255
30	224
31	193
32	180
33	142
34	137
35	123
36	86
37	61
38	63
39	61
40	40
41	38
42	41
43	39
44	29
45	39
46	31
47	51
48	51
49	69
50	83
51	66
52	61
53	55
54	57
55	61
56	51
57	49
58	40
59	44
60	32
61	23
62	31
63	22
64	17
65	9
66	13
67	14
68	13
69	8
70	8
71	7
72	8
73	7
74	6
75	7
76	15
77	3
78	6
79	10
80	11
81	6
82	10
83	8
84	2
85	8
86	5
87	4
88	8
89	13
90	8
91	6
92	6
93	7
94	8
95	3
96	12
97	13
98	7
99	8
100	8
101	10
102	18
103	14
104	16
105	13
106	14
107	18
108	18
109	13
110	26
111	10
112	13
113	17
114	15
115	20
116	10
117	24
118	29
119	25
120	26
121	30
122	29
123	31
124	44
125	46
126	46
127	45
128	51
129	49
130	34
131	45
132	40
133	52
134	49
135	60
136	76
137	98
138	81
139	116
140	105
141	118
142	113
143	86
144	98
145	78
146	63
147	50
148	42
149	36
150	27
151	21
152	11
153	18
154	13
155	12
156	14
157	10
158	8
159	7
160	5
161	8
162	6
163	10
164	14
165	6
166	7
167	7
168	6
169	7
170	8
171	9
172	3
173	5
174	7
175	12
176	12
177	7
178	8
179	11
180	12
181	12
182	13
183	6
184	9
185	14
186	10
187	6
188	9
189	6
190	6
191	10
192	6
193	5
194	10
195	8
196	1
197	6
198	6
199	5
200	9
201	5
202	5
203	5
204	4
205	5
206	5
207	5
208	4
209	6
210	7
211	9
212	4
213	5
214	7
215	8
216	5
217	4
218	1
219	5
220	7
221	5
222	6
223	2
224	3
225	2
226	1
227	3
228	10
229	7
230	5
231	4
232	5
233	2
234	2
235	5
236	4
237	7
238	6
239	4
240	5
241	6
242	5
243	3
244	6
245	6
246	4
247	6
248	4
249	1
250	5
251	5
252	5
253	6
254	4
255	5
256	3
257	8
258	3
259	4
260	5
261	4
262	7
263	3
264	5
265	4
266	7
267	3
268	6
269	1
270	5
271	3
272	4
273	4
274	6
275	1
276	6
277	3
278	1
279	7
280	4
281	4
282	10
283	4
284	4
285	3
286	0
287	1
288	7
289	5
290	8
291	1
292	1
293	1
294	6
295	3
296	10
297	6
298	4
299	9
300	11
301	4
302	4
303	5
304	10
305	5
306	7
307	6
308	5
309	6
310	8
311	2
312	12
313	7
314	10
315	6
316	9
317	12
318	26
319	28
320	41
321	55
322	62
323	76
324	93
325	124
326	127
327	122
328	141
329	117
330	111
331	83
332	67
333	67
334	48
335	25
336	28
337	17
338	17
339	7
340	6
341	6
342	3
343	3
344	1
345	4
346	1
347	3
348	2
349	2
350	1
351	2
352	2
353	3
354	3
355	3
356	3
357	0
358	2
359	5
360	8
361	8
362	10
363	13
364	16
365	16
366	17
367	14
368	16
369	15
370	13
371	16
372	19
373	7
374	8
375	10
376	2
377	3
378	1
379	1
380	2
381	3
382	0
383	1
384	0
385	0
386	0
387	2
388	0
389	1
390	1
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	1
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	1
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	1
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	1
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	1
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	3
