n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	1
15	5
16	12
17	19
18	20
19	27
20	30
21	39
22	26
23	19
24	20
25	24
26	18
27	25
28	16
29	26
30	24
31	35
32	35
33	29
34	29
35	39
36	41
37	31
38	50
39	52
40	46
41	41
42	49
43	57
44	73
45	72
46	80
47	84
48	65
49	92
50	97
51	106
52	106
53	114
54	109
55	127
56	111
57	124
58	144
59	139
60	168
61	146
62	159
63	178
64	193
65	182
66	192
67	182
68	199
69	196
70	208
71	197
72	209
73	217
74	219
75	222
76	225
77	253
78	252
79	258
80	246
81	254
82	217
83	248
84	263
85	252
86	256
87	245
88	275
89	268
90	252
91	249
92	247
93	220
94	234
95	247
96	263
97	241
98	218
99	216
100	227
101	224
102	208
103	230
104	249
105	245
106	229
107	231
108	207
109	193
110	220
111	235
112	203
113	186
114	208
115	199
116	241
117	202
118	167
119	190
120	180
121	168
122	162
123	160
124	191
125	182
126	144
127	153
128	146
129	163
130	153
131	160
132	141
133	153
134	155
135	153
136	151
137	140
138	142
139	124
140	128
141	152
142	124
143	120
144	136
145	141
146	139
147	123
148	114
149	126
150	135
151	118
152	119
153	119
154	113
155	107
156	113
157	110
158	124
159	120
160	107
161	129
162	117
163	93
164	103
165	103
166	89
167	100
168	122
169	99
170	88
171	89
172	78
173	87
174	91
175	79
176	93
177	87
178	77
179	93
180	85
181	63
182	80
183	66
184	79
185	83
186	65
187	53
188	70
189	58
190	55
191	61
192	39
193	67
194	62
195	45
196	46
197	35
198	52
199	42
200	35
201	28
202	33
203	21
204	30
205	34
206	24
207	39
208	27
209	27
210	28
211	17
212	34
213	30
214	34
215	22
216	25
217	24
218	19
219	18
220	28
221	30
222	19
223	13
224	22
225	26
226	15
227	17
228	17
229	15
230	17
231	15
232	16
233	18
234	16
235	15
236	8
237	12
238	15
239	20
240	16
241	15
242	11
243	13
244	17
245	14
246	19
247	8
248	15
249	16
250	14
251	11
252	10
253	8
254	22
255	12
256	15
257	8
258	10
259	9
260	9
261	13
262	8
263	9
264	9
265	4
266	8
267	7
268	7
269	8
270	10
271	12
272	6
273	5
274	10
275	10
276	10
277	9
278	5
279	8
280	7
281	6
282	7
283	7
284	7
285	5
286	9
287	8
288	9
289	8
290	3
291	4
292	3
293	5
294	8
295	5
296	0
297	5
298	3
299	3
300	5
301	3
302	4
303	8
304	5
305	5
306	3
307	1
308	6
309	2
310	2
311	3
312	3
313	4
314	4
315	2
316	6
317	3
318	2
319	1
320	4
321	1
322	6
323	3
324	8
325	2
326	5
327	2
328	2
329	1
330	4
331	4
332	3
333	2
334	5
335	2
336	6
337	3
338	7
339	2
340	2
341	2
342	6
343	4
344	6
345	6
346	4
347	8
348	6
349	4
350	2
351	2
352	3
353	1
354	2
355	1
356	2
357	4
358	7
359	2
360	2
361	3
362	2
363	3
364	1
365	0
366	4
367	4
368	0
369	2
370	3
371	4
372	2
373	2
374	6
375	3
376	3
377	3
378	3
379	1
380	4
381	2
382	1
383	2
384	1
385	4
386	1
387	2
388	1
389	1
390	5
391	3
392	4
393	2
394	5
395	2
396	4
397	2
398	1
399	2
400	1
401	0
402	2
403	1
404	3
405	3
406	3
407	0
408	1
409	1
410	4
411	0
412	0
413	3
414	2
415	0
416	1
417	4
418	1
419	2
420	2
421	1
422	2
423	0
424	1
425	1
426	2
427	1
428	1
429	4
430	1
431	2
432	3
433	0
434	0
435	0
436	2
437	1
438	2
439	2
440	3
441	2
442	1
443	0
444	1
445	2
446	1
447	0
448	0
449	0
450	2
451	0
452	2
453	0
454	1
455	0
456	1
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	1
465	1
466	1
467	0
468	0
469	3
470	1
471	0
472	1
473	0
474	1
475	0
476	2
477	0
478	1
479	0
480	0
481	0
482	0
483	0
484	0
485	1
486	1
487	0
488	0
489	1
490	1
491	0
492	1
493	1
494	2
495	1
496	0
497	0
498	0
499	0
500	0
501	0
502	1
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	1
511	5
