n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	1
25	0
26	1
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	1
35	1
36	4
37	5
38	2
39	3
40	4
41	4
42	7
43	4
44	3
45	3
46	5
47	2
48	8
49	4
50	3
51	9
52	7
53	8
54	8
55	11
56	9
57	9
58	1
59	6
60	7
61	8
62	9
63	13
64	14
65	6
66	2
67	7
68	8
69	7
70	13
71	5
72	13
73	4
74	5
75	10
76	7
77	7
78	8
79	12
80	17
81	9
82	12
83	11
84	29
85	7
86	10
87	15
88	18
89	21
90	23
91	24
92	24
93	38
94	56
95	72
96	60
97	99
98	140
99	145
100	246
101	288
102	327
103	369
104	353
105	375
106	392
107	343
108	328
109	267
110	256
111	189
112	180
113	151
114	153
115	141
116	134
117	98
118	103
119	66
120	48
121	57
122	56
123	60
124	59
125	78
126	83
127	112
128	117
129	130
130	161
131	192
132	240
133	237
134	303
135	361
136	394
137	378
138	382
139	353
140	351
141	259
142	237
143	187
144	152
145	112
146	87
147	78
148	95
149	62
150	67
151	56
152	59
153	45
154	32
155	33
156	44
157	25
158	15
159	7
160	11
161	7
162	3
163	10
164	3
165	6
166	1
167	1
168	5
169	3
170	4
171	3
172	2
173	2
174	4
175	1
176	3
177	2
178	1
179	1
180	5
181	2
182	5
183	4
184	2
185	0
186	2
187	4
188	0
189	2
190	1
191	1
192	1
193	2
194	3
195	2
196	1
197	7
198	0
199	2
200	3
201	0
202	0
203	5
204	4
205	3
206	3
207	2
208	0
209	0
210	0
211	2
212	1
213	1
214	1
215	2
216	2
217	0
218	3
219	2
220	2
221	0
222	1
223	2
224	2
225	1
226	0
227	1
228	1
229	1
230	1
231	0
232	2
233	0
234	2
235	3
236	0
237	1
238	1
239	2
240	1
241	0
242	0
243	1
244	1
245	2
246	1
247	0
248	3
249	1
250	1
251	2
252	1
253	0
254	0
255	1
256	3
257	0
258	1
259	1
260	1
261	1
262	0
263	0
264	0
265	1
266	1
267	0
268	0
269	1
270	1
271	1
272	2
273	1
274	0
275	1
276	0
277	1
278	0
279	0
280	0
281	1
282	1
283	1
284	1
285	0
286	0
287	1
288	2
289	0
290	0
291	0
292	0
293	1
294	1
295	0
296	0
297	1
298	1
299	0
300	0
301	0
302	2
303	1
304	0
305	0
306	0
307	0
308	1
309	0
310	1
311	0
312	0
313	1
314	0
315	1
316	0
317	0
318	0
319	0
320	0
321	1
322	1
323	0
324	0
325	1
326	0
327	0
328	0
329	0
330	2
331	0
332	1
333	1
334	0
335	0
336	0
337	0
338	1
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	1
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	2
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	1
372	0
373	0
374	0
375	0
376	1
377	0
378	0
379	0
380	1
381	0
382	0
383	1
384	0
385	0
386	0
387	0
388	0
389	0
390	2
391	0
392	0
393	1
394	1
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	1
421	0
422	0
423	1
424	1
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	1
467	0
468	0
469	0
470	0
471	0
472	1
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	1
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	1
509	0
510	0
511	2
