n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	9
15	63
16	194
17	295
18	449
19	480
20	528
21	539
22	568
23	535
24	557
25	560
26	535
27	547
28	552
29	547
30	537
31	581
32	612
33	541
34	623
35	598
36	624
37	641
38	616
39	675
40	672
41	717
42	723
43	826
44	869
45	852
46	884
47	932
48	941
49	1025
50	1042
51	1015
52	1057
53	1061
54	1188
55	1188
56	1225
57	1280
58	1387
59	1365
60	1462
61	1401
62	1594
63	1615
64	1704
65	1750
66	1802
67	1862
68	1927
69	1953
70	1992
71	2105
72	2204
73	2218
74	2240
75	2239
76	2279
77	2356
78	2452
79	2439
80	2520
81	2524
82	2436
83	2537
84	2603
85	2539
86	2528
87	2623
88	2577
89	2619
90	2588
91	2613
92	2593
93	2548
94	2721
95	2589
96	2642
97	2556
98	2591
99	2463
100	2435
101	2543
102	2368
103	2427
104	2391
105	2314
106	2225
107	2279
108	2190
109	2121
110	2198
111	2053
112	2080
113	2018
114	1953
115	1965
116	1978
117	1804
118	1849
119	1776
120	1892
121	1710
122	1701
123	1722
124	1640
125	1632
126	1571
127	1597
128	1511
129	1455
130	1421
131	1394
132	1389
133	1257
134	1399
135	1327
136	1244
137	1231
138	1203
139	1163
140	1167
141	1110
142	1119
143	1062
144	1072
145	1046
146	1001
147	945
148	985
149	986
150	985
151	954
152	941
153	972
154	803
155	890
156	861
157	805
158	791
159	762
160	774
161	763
162	694
163	696
164	748
165	709
166	689
167	653
168	682
169	628
170	634
171	604
172	650
173	635
174	576
175	572
176	607
177	578
178	544
179	601
180	518
181	543
182	530
183	488
184	516
185	491
186	460
187	440
188	467
189	460
190	417
191	417
192	440
193	452
194	492
195	449
196	440
197	410
198	405
199	384
200	394
201	352
202	353
203	366
204	419
205	340
206	365
207	361
208	359
209	334
210	328
211	312
212	318
213	317
214	288
215	299
216	288
217	294
218	301
219	312
220	253
221	265
222	263
223	250
224	251
225	261
226	230
227	266
228	264
229	245
230	240
231	235
232	219
233	203
234	250
235	244
236	231
237	248
238	223
239	211
240	215
241	204
242	220
243	222
244	175
245	189
246	208
247	174
248	194
249	176
250	179
251	187
252	168
253	165
254	149
255	164
256	169
257	148
258	190
259	171
260	163
261	150
262	162
263	152
264	141
265	161
266	144
267	168
268	138
269	156
270	154
271	115
272	117
273	106
274	127
275	125
276	147
277	120
278	131
279	120
280	136
281	96
282	129
283	127
284	103
285	123
286	103
287	95
288	102
289	87
290	101
291	101
292	88
293	104
294	81
295	95
296	96
297	97
298	89
299	91
300	74
301	103
302	85
303	91
304	73
305	77
306	88
307	77
308	86
309	95
310	68
311	69
312	82
313	61
314	70
315	70
316	79
317	76
318	62
319	63
320	56
321	74
322	65
323	60
324	73
325	69
326	56
327	53
328	56
329	70
330	56
331	49
332	56
333	50
334	46
335	57
336	58
337	66
338	39
339	54
340	50
341	49
342	44
343	45
344	65
345	60
346	34
347	38
348	44
349	46
350	57
351	39
352	39
353	49
354	39
355	42
356	46
357	50
358	57
359	44
360	31
361	39
362	39
363	38
364	42
365	35
366	33
367	30
368	45
369	42
370	28
371	33
372	36
373	40
374	48
375	44
376	35
377	35
378	29
379	38
380	32
381	25
382	33
383	33
384	21
385	31
386	25
387	32
388	33
389	32
390	28
391	34
392	33
393	20
394	24
395	28
396	23
397	30
398	20
399	22
400	29
401	17
402	24
403	30
404	23
405	32
406	25
407	17
408	21
409	21
410	22
411	22
412	28
413	18
414	21
415	15
416	18
417	22
418	22
419	21
420	18
421	18
422	17
423	19
424	17
425	14
426	15
427	18
428	21
429	14
430	20
431	17
432	13
433	11
434	14
435	13
436	18
437	17
438	17
439	15
440	13
441	14
442	18
443	17
444	9
445	11
446	17
447	12
448	8
449	14
450	16
451	13
452	6
453	16
454	13
455	9
456	8
457	12
458	10
459	9
460	17
461	6
462	11
463	13
464	9
465	11
466	12
467	10
468	13
469	15
470	14
471	12
472	12
473	16
474	3
475	12
476	8
477	8
478	9
479	13
480	20
481	5
482	9
483	5
484	10
485	5
486	6
487	9
488	6
489	10
490	9
491	7
492	7
493	4
494	13
495	5
496	5
497	7
498	5
499	6
500	9
501	3
502	9
503	6
504	12
505	7
506	3
507	5
508	6
509	5
510	6
511	53
