&b	R
2,0	37,2
2,1	40,8
2,2	37,0
2,3	37,2
2,4	38,1
2,5	38,5
2,6	36,1
2,7	35,4
2,8	41,4
2,9	44,5
3,0	49,6
3,1	56,1
3,2	61,7
3,3	68,7
3,4	77,5
3,5	89,3
3,6	88,3
3,7	101,0
3,8	102,9
3,9	100,2
4,0	106,6
4,1	106,7
4,2	110,6
4,3	113,0
4,4	119,3
4,5	115,9
4,6	131,2
4,7	122,1
4,8	126,5
4,9	123,5
5,0	125,6
5,1	121,8
5,2	128,6
5,3	129,8
5,4	132,0
5,5	132,0
5,6	135,1
5,7	134,1
5,8	134,2
5,9	138,2
6,0	138,8
6,1	133,4
6,2	138,7
6,3	143,1
6,4	143,0
6,5	149,6
6,6	148,8
6,7	147,3
6,8	149,6
6,9	149,9
7,0	145,0
7,1	150,2
7,2	155,6
7,3	151,0
7,4	149,6
7,5	148,0
7,6	152,4
7,7	150,9
7,8	160,9
7,9	150,9
8,0	154,6
8,1	150,8
8,2	146,6
8,3	150,5
8,4	149,1
8,5	147,8
8,6	156,0
8,7	151,4
8,8	145,0
8,9	147,7
9,0	141,5
9,1	148,1
9,2	148,7
9,3	138,8
9,4	138,4
9,5	134,8
9,6	131,4
9,7	123,3
9,8	126,0
9,9	124,9
10,0	127,7
10,1	118,5
10,2	117,1
10,3	115,2
10,4	120,3
10,5	117,2
10,6	119,4
10,7	117,3
10,8	113,3
10,9	118,7
11,0	114,0
11,1	111,3
11,2	113,2
11,3	103,6
11,4	108,1
11,5	106,0
11,6	110,3
11,7	100,4
11,8	97,8
11,9	98,6
12,0	100,9
12,1	97,7
12,2	97,8
12,3	94,4
12,4	94,9
12,5	92,6
12,6	99,0
12,7	100,6
12,8	95,0
12,9	94,6
13,0	99,8
13,1	102,5
13,2	100,0
13,3	93,9
13,4	93,6
13,5	86,4
13,6	79,8
13,7	82,5
13,8	78,2
13,9	75,3
14,0	79,4
14,1	80,9
14,2	74,8
14,3	75,2
14,4	72,4
14,5	76,7
14,6	76,6
14,7	78,7
14,8	64,4
14,9	72,9
15,0	84,9
15,1	84,5
15,2	88,0
15,3	86,3
15,4	81,7
15,5	69,2
15,6	69,8
15,7	67,7
15,8	69,8
15,9	68,4
16,0	66,7
16,1	64,6
16,2	60,5
16,3	55,9
16,4	53,8
16,5	53,8
16,6	51,5
16,7	56,1
16,8	58,9
16,9	49,2
17,0	54,6
17,1	57,0
17,2	53,8
17,3	51,9
17,4	54,0
17,5	47,3
17,6	47,2
17,7	52,6
17,8	75,0
17,9	131,1
18,0	216,1
18,1	297,8
18,2	322,6
18,3	276,5
18,4	229,6
18,5	134,6
18,6	63,9
18,7	57,5
18,8	57,2
18,9	51,6
19,0	47,7
19,1	52,1
19,2	48,6
19,3	45,4
19,4	53,0
19,5	49,8
19,6	55,2
19,7	107,4
19,8	239,0
19,9	472,8
20,0	778,7
20,1	917,4
20,2	856,9
20,3	701,2
20,4	469,4
20,5	91,0
20,6	46,1
20,7	45,3
20,8	43,1
20,9	37,2
21,0	38,9
21,1	39,8
21,2	35,9
21,3	36,1
21,4	37,6
21,5	34,5
21,6	35,3
21,7	35,7
21,8	34,4
21,9	32,4
22,0	32,2
22,1	33,3
22,2	30,0
22,3	32,0
22,4	29,5
22,5	31,6
22,6	29,6
22,7	29,1
22,8	31,0
22,9	28,8
23,0	32,1
23,1	28,2
23,2	27,7
23,3	25,2
23,4	26,8
23,5	26,0
23,6	29,9
23,7	26,4
23,8	28,7
23,9	26,2
24,0	26,3
24,1	28,3
24,2	25,0
24,3	27,1
24,4	26,6
24,5	25,5
24,6	26,2
24,7	27,0
24,8	22,5
24,9	23,5
25,0	26,5
