n_4	N_4
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	3
15	21
16	69
17	100
18	135
19	117
20	149
21	125
22	129
23	120
24	117
25	107
26	125
27	122
28	107
29	121
30	123
31	125
32	139
33	119
34	114
35	121
36	145
37	140
38	147
39	140
40	147
41	159
42	152
43	184
44	177
45	184
46	197
47	217
48	223
49	241
50	228
51	235
52	258
53	288
54	283
55	311
56	322
57	314
58	320
59	278
60	340
61	371
62	410
63	402
64	438
65	404
66	401
67	448
68	450
69	478
70	465
71	554
72	565
73	532
74	559
75	647
76	607
77	553
78	638
79	646
80	690
81	624
82	636
83	661
84	663
85	645
86	695
87	708
88	769
89	719
90	709
91	704
92	671
93	636
94	747
95	698
96	707
97	726
98	679
99	678
100	676
101	683
102	663
103	650
104	614
105	586
106	631
107	623
108	639
109	622
110	575
111	596
112	644
113	563
114	603
115	547
116	545
117	513
118	537
119	526
120	513
121	514
122	463
123	490
124	500
125	497
126	434
127	464
128	415
129	427
130	387
131	401
132	404
133	387
134	379
135	392
136	382
137	384
138	363
139	347
140	335
141	315
142	291
143	293
144	302
145	310
146	285
147	309
148	285
149	265
150	265
151	280
152	251
153	256
154	260
155	194
156	237
157	210
158	224
159	246
160	193
161	218
162	244
163	226
164	193
165	165
166	197
167	183
168	176
169	190
170	192
171	152
172	156
173	170
174	152
175	161
176	168
177	173
178	142
179	148
180	149
181	152
182	148
183	142
184	154
185	133
186	143
187	138
188	142
189	146
190	120
191	117
192	119
193	135
194	132
195	101
196	115
197	102
198	97
199	111
200	99
201	100
202	94
203	94
204	84
205	95
206	82
207	88
208	96
209	78
210	78
211	74
212	78
213	79
214	70
215	54
216	71
217	69
218	65
219	51
220	57
221	60
222	62
223	63
224	56
225	56
226	42
227	51
228	51
229	49
230	56
231	53
232	41
233	45
234	46
235	53
236	44
237	39
238	37
239	30
240	37
241	31
242	27
243	33
244	27
245	41
246	35
247	33
248	25
249	31
250	29
251	21
252	35
253	24
254	17
255	24
256	30
257	28
258	29
259	24
260	21
261	23
262	25
263	24
264	26
265	26
266	20
267	19
268	19
269	20
270	19
271	20
272	19
273	15
274	14
275	18
276	24
277	10
278	15
279	22
280	17
281	21
282	14
283	13
284	12
285	14
286	19
287	13
288	17
289	19
290	11
291	17
292	13
293	13
294	7
295	10
296	16
297	12
298	12
299	18
300	19
301	10
302	12
303	7
304	9
305	7
306	15
307	9
308	13
309	13
310	5
311	11
312	13
313	10
314	11
315	9
316	4
317	9
318	10
319	3
320	10
321	9
322	8
323	10
324	7
325	15
326	7
327	8
328	7
329	9
330	6
331	7
332	5
333	7
334	4
335	8
336	3
337	4
338	7
339	5
340	4
341	2
342	8
343	6
344	5
345	5
346	9
347	7
348	4
349	4
350	1
351	7
352	8
353	2
354	4
355	8
356	3
357	4
358	8
359	7
360	7
361	5
362	3
363	2
364	4
365	6
366	4
367	6
368	2
369	5
370	1
371	3
372	6
373	4
374	3
375	1
376	3
377	2
378	1
379	6
380	5
381	4
382	4
383	2
384	4
385	5
386	5
387	0
388	5
389	4
390	2
391	5
392	3
393	2
394	4
395	2
396	2
397	3
398	3
399	1
400	4
401	4
402	1
403	3
404	1
405	1
406	2
407	1
408	1
409	2
410	1
411	1
412	3
413	0
414	4
415	1
416	2
417	2
418	1
419	1
420	2
421	2
422	1
423	1
424	2
425	1
426	3
427	2
428	3
429	4
430	1
431	1
432	2
433	4
434	2
435	4
436	2
437	4
438	4
439	1
440	0
441	4
442	0
443	1
444	3
445	1
446	1
447	0
448	3
449	1
450	2
451	1
452	1
453	1
454	3
455	0
456	1
457	0
458	1
459	0
460	3
461	1
462	2
463	2
464	2
465	1
466	0
467	2
468	0
469	1
470	1
471	2
472	3
473	1
474	0
475	2
476	0
477	3
478	0
479	1
480	2
481	1
482	0
483	0
484	1
485	1
486	0
487	2
488	1
489	0
490	1
491	0
492	1
493	1
494	0
495	0
496	1
497	0
498	0
499	0
500	1
501	1
502	0
503	1
504	0
505	1
506	2
507	0
508	0
509	0
510	0
511	6
