n_1	N_1	n_2	N_2
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	6	0
7	0	7	0
8	0	8	0
9	0	9	0
10	0	10	0
11	0	11	0
12	0	12	0
13	0	13	0
14	9	14	35
15	63	15	492
16	194	16	951
17	295	17	1245
18	449	18	1381
19	480	19	1622
20	528	20	1851
21	539	21	2108
22	568	22	2529
23	535	23	2912
24	557	24	3238
25	560	25	3710
26	535	26	4043
27	547	27	4730
28	552	28	5182
29	547	29	5690
30	537	30	6193
31	581	31	6631
32	612	32	7196
33	541	33	7475
34	623	34	7396
35	598	35	7560
36	624	36	7603
37	641	37	7519
38	616	38	7440
39	675	39	7220
40	672	40	7252
41	717	41	6922
42	723	42	6413
43	826	43	6292
44	869	44	5995
45	852	45	5482
46	884	46	5183
47	932	47	5004
48	941	48	4701
49	1025	49	4368
50	1042	50	3921
51	1015	51	3636
52	1057	52	3444
53	1061	53	3197
54	1188	54	2902
55	1188	55	2723
56	1225	56	2581
57	1280	57	2307
58	1387	58	2156
59	1365	59	1932
60	1462	60	1778
61	1401	61	1717
62	1594	62	1539
63	1615	63	1562
64	1704	64	1442
65	1750	65	1221
66	1802	66	1096
67	1862	67	1086
68	1927	68	973
69	1953	69	982
70	1992	70	853
71	2105	71	804
72	2204	72	762
73	2218	73	745
74	2240	74	639
75	2239	75	590
76	2279	76	572
77	2356	77	523
78	2452	78	466
79	2439	79	472
80	2520	80	424
81	2524	81	349
82	2436	82	379
83	2537	83	365
84	2603	84	318
85	2539	85	297
86	2528	86	277
87	2623	87	242
88	2577	88	252
89	2619	89	227
90	2588	90	217
91	2613	91	204
92	2593	92	192
93	2548	93	179
94	2721	94	191
95	2589	95	132
96	2642	96	135
97	2556	97	146
98	2591	98	127
99	2463	99	125
100	2435	100	137
101	2543	101	120
102	2368	102	120
103	2427	103	102
104	2391	104	105
105	2314	105	94
106	2225	106	96
107	2279	107	82
108	2190	108	103
109	2121	109	98
110	2198	110	89
111	2053	111	88
112	2080	112	87
113	2018	113	71
114	1953	114	64
115	1965	115	57
116	1978	116	66
117	1804	117	68
118	1849	118	68
119	1776	119	70
120	1892	120	90
121	1710	121	76
122	1701	122	83
123	1722	123	68
124	1640	124	81
125	1632	125	60
126	1571	126	66
127	1597	127	56
128	1511	128	68
129	1455	129	67
130	1421	130	72
131	1394	131	69
132	1389	132	50
133	1257	133	65
134	1399	134	52
135	1327	135	55
136	1244	136	52
137	1231	137	57
138	1203	138	44
139	1163	139	63
140	1167	140	58
141	1110	141	47
142	1119	142	36
143	1062	143	41
144	1072	144	52
145	1046	145	48
146	1001	146	36
147	945	147	38
148	985	148	31
149	986	149	30
150	985	150	27
151	954	151	29
152	941	152	26
153	972	153	40
154	803	154	23
155	890	155	38
156	861	156	27
157	805	157	24
158	791	158	24
159	762	159	11
160	774	160	22
161	763	161	18
162	694	162	15
163	696	163	18
164	748	164	25
165	709	165	24
166	689	166	19
167	653	167	11
168	682	168	22
169	628	169	14
170	634	170	8
171	604	171	21
172	650	172	26
173	635	173	13
174	576	174	20
175	572	175	11
176	607	176	15
177	578	177	24
178	544	178	10
179	601	179	16
180	518	180	18
181	543	181	24
182	530	182	15
183	488	183	10
184	516	184	10
185	491	185	14
186	460	186	10
187	440	187	21
188	467	188	12
189	460	189	13
190	417	190	14
191	417	191	15
192	440	192	17
193	452	193	17
194	492	194	16
195	449	195	12
196	440	196	9
197	410	197	11
198	405	198	13
199	384	199	13
200	394	200	11
201	352	201	13
202	353	202	7
203	366	203	8
204	419	204	7
205	340	205	6
206	365	206	10
207	361	207	10
208	359	208	12
209	334	209	11
210	328	210	4
211	312	211	6
212	318	212	6
213	317	213	7
214	288	214	9
215	299	215	7
216	288	216	4
217	294	217	4
218	301	218	3
219	312	219	4
220	253	220	10
221	265	221	5
222	263	222	6
223	250	223	7
224	251	224	5
225	261	225	7
226	230	226	6
227	266	227	7
228	264	228	14
229	245	229	7
230	240	230	6
231	235	231	5
232	219	232	4
233	203	233	7
234	250	234	4
235	244	235	8
236	231	236	3
237	248	237	3
238	223	238	2
239	211	239	7
240	215	240	5
241	204	241	2
242	220	242	5
243	222	243	2
244	175	244	2
245	189	245	2
246	208	246	4
247	174	247	6
248	194	248	5
249	176	249	3
250	179	250	3
251	187	251	4
252	168	252	2
253	165	253	2
254	149	254	2
255	164	255	2
256	169	256	1
257	148	257	0
258	190	258	2
259	171	259	4
260	163	260	2
261	150	261	4
262	162	262	4
263	152	263	2
264	141	264	2
265	161	265	4
266	144	266	1
267	168	267	2
268	138	268	8
269	156	269	3
270	154	270	3
271	115	271	7
272	117	272	1
273	106	273	3
274	127	274	2
275	125	275	2
276	147	276	2
277	120	277	1
278	131	278	4
279	120	279	2
280	136	280	1
281	96	281	3
282	129	282	1
283	127	283	4
284	103	284	3
285	123	285	4
286	103	286	4
287	95	287	2
288	102	288	4
289	87	289	4
290	101	290	1
291	101	291	0
292	88	292	2
293	104	293	7
294	81	294	2
295	95	295	0
296	96	296	4
297	97	297	3
298	89	298	4
299	91	299	2
300	74	300	2
301	103	301	5
302	85	302	1
303	91	303	2
304	73	304	2
305	77	305	3
306	88	306	2
307	77	307	4
308	86	308	4
309	95	309	2
310	68	310	0
311	69	311	3
312	82	312	2
313	61	313	3
314	70	314	5
315	70	315	2
316	79	316	3
317	76	317	0
318	62	318	2
319	63	319	2
320	56	320	1
321	74	321	2
322	65	322	1
323	60	323	2
324	73	324	1
325	69	325	0
326	56	326	5
327	53	327	1
328	56	328	5
329	70	329	2
330	56	330	5
331	49	331	2
332	56	332	1
333	50	333	1
334	46	334	2
335	57	335	3
336	58	336	1
337	66	337	1
338	39	338	2
339	54	339	3
340	50	340	3
341	49	341	3
342	44	342	3
343	45	343	3
344	65	344	3
345	60	345	5
346	34	346	3
347	38	347	3
348	44	348	5
349	46	349	8
350	57	350	5
351	39	351	4
352	39	352	5
353	49	353	5
354	39	354	9
355	42	355	8
356	46	356	14
357	50	357	10
358	57	358	9
359	44	359	9
360	31	360	21
361	39	361	16
362	39	362	19
363	38	363	20
364	42	364	18
365	35	365	18
366	33	366	30
367	30	367	14
368	45	368	29
369	42	369	22
370	28	370	20
371	33	371	28
372	36	372	27
373	40	373	31
374	48	374	20
375	44	375	27
376	35	376	22
377	35	377	23
378	29	378	15
379	38	379	15
380	32	380	12
381	25	381	8
382	33	382	12
383	33	383	9
384	21	384	5
385	31	385	10
386	25	386	9
387	32	387	7
388	33	388	7
389	32	389	5
390	28	390	3
391	34	391	4
392	33	392	4
393	20	393	3
394	24	394	1
395	28	395	4
396	23	396	3
397	30	397	2
398	20	398	3
399	22	399	3
400	29	400	5
401	17	401	3
402	24	402	1
403	30	403	0
404	23	404	3
405	32	405	4
406	25	406	7
407	17	407	5
408	21	408	2
409	21	409	8
410	22	410	5
411	22	411	2
412	28	412	4
413	18	413	1
414	21	414	3
415	15	415	1
416	18	416	5
417	22	417	8
418	22	418	2
419	21	419	5
420	18	420	4
421	18	421	3
422	17	422	3
423	19	423	1
424	17	424	2
425	14	425	3
426	15	426	2
427	18	427	4
428	21	428	0
429	14	429	1
430	20	430	2
431	17	431	1
432	13	432	0
433	11	433	3
434	14	434	1
435	13	435	1
436	18	436	3
437	17	437	0
438	17	438	0
439	15	439	0
440	13	440	1
441	14	441	0
442	18	442	0
443	17	443	0
444	9	444	0
445	11	445	0
446	17	446	0
447	12	447	0
448	8	448	1
449	14	449	0
450	16	450	0
451	13	451	0
452	6	452	0
453	16	453	1
454	13	454	0
455	9	455	0
456	8	456	0
457	12	457	0
458	10	458	0
459	9	459	0
460	17	460	0
461	6	461	0
462	11	462	1
463	13	463	0
464	9	464	0
465	11	465	1
466	12	466	0
467	10	467	0
468	13	468	0
469	15	469	0
470	14	470	0
471	12	471	0
472	12	472	1
473	16	473	0
474	3	474	0
475	12	475	0
476	8	476	0
477	8	477	0
478	9	478	0
479	13	479	0
480	20	480	0
481	5	481	0
482	9	482	0
483	5	483	0
484	10	484	0
485	5	485	0
486	6	486	0
487	9	487	0
488	6	488	0
489	10	489	0
490	9	490	0
491	7	491	0
492	7	492	0
493	4	493	0
494	13	494	0
495	5	495	0
496	5	496	0
497	7	497	0
498	5	498	0
499	6	499	0
500	9	500	0
501	3	501	0
502	9	502	0
503	6	503	0
504	12	504	0
505	7	505	0
506	3	506	0
507	5	507	0
508	6	508	0
509	5	509	0
510	6	510	0
511	53	511	2
