n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	2
16	13
17	29
18	46
19	21
20	39
21	31
22	27
23	29
24	25
25	32
26	33
27	23
28	48
29	40
30	33
31	23
32	43
33	36
34	46
35	33
36	54
37	44
38	50
39	51
40	57
41	60
42	55
43	72
44	81
45	85
46	85
47	65
48	84
49	91
50	90
51	101
52	99
53	106
54	97
55	100
56	125
57	111
58	140
59	143
60	155
61	166
62	137
63	197
64	194
65	172
66	182
67	213
68	187
69	219
70	207
71	227
72	231
73	259
74	247
75	277
76	272
77	275
78	261
79	293
80	306
81	317
82	286
83	308
84	282
85	312
86	307
87	335
88	349
89	363
90	317
91	315
92	297
93	301
94	340
95	318
96	302
97	310
98	317
99	327
100	274
101	295
102	308
103	313
104	319
105	299
106	259
107	299
108	277
109	272
110	284
111	279
112	273
113	269
114	241
115	262
116	248
117	257
118	268
119	267
120	254
121	243
122	248
123	246
124	200
125	247
126	244
127	239
128	240
129	212
130	237
131	240
132	227
133	228
134	209
135	239
136	201
137	225
138	194
139	193
140	223
141	182
142	170
143	181
144	184
145	177
146	171
147	164
148	157
149	155
150	156
151	142
152	145
153	147
154	114
155	149
156	131
157	127
158	117
159	122
160	99
161	102
162	88
163	108
164	94
165	86
166	74
167	90
168	69
169	85
170	66
171	64
172	87
173	72
174	67
175	56
176	60
177	52
178	59
179	55
180	57
181	48
182	41
183	40
184	44
185	44
186	41
187	24
188	33
189	43
190	33
191	38
192	35
193	31
194	27
195	23
196	27
197	21
198	21
199	23
200	35
201	15
202	19
203	16
204	20
205	14
206	10
207	16
208	18
209	21
210	11
211	13
212	12
213	21
214	20
215	14
216	14
217	13
218	19
219	10
220	16
221	11
222	15
223	10
224	19
225	11
226	17
227	17
228	12
229	12
230	10
231	10
232	15
233	9
234	10
235	5
236	4
237	10
238	4
239	15
240	10
241	13
242	10
243	7
244	5
245	8
246	4
247	8
248	11
249	7
250	7
251	5
252	1
253	10
254	12
255	2
256	3
257	3
258	7
259	3
260	4
261	9
262	5
263	6
264	5
265	4
266	8
267	4
268	6
269	3
270	1
271	4
272	7
273	4
274	7
275	4
276	2
277	9
278	4
279	3
280	5
281	6
282	3
283	8
284	5
285	2
286	4
287	2
288	4
289	4
290	2
291	4
292	4
293	7
294	5
295	5
296	3
297	3
298	2
299	0
300	2
301	2
302	3
303	4
304	6
305	2
306	2
307	2
308	5
309	1
310	2
311	4
312	2
313	1
314	2
315	3
316	8
317	1
318	3
319	0
320	1
321	4
322	1
323	1
324	1
325	1
326	1
327	3
328	2
329	1
330	1
331	1
332	1
333	3
334	2
335	1
336	2
337	1
338	2
339	1
340	0
341	2
342	1
343	2
344	0
345	1
346	2
347	0
348	1
349	2
350	2
351	2
352	2
353	0
354	3
355	1
356	1
357	0
358	0
359	1
360	0
361	0
362	0
363	1
364	0
365	0
366	0
367	0
368	2
369	0
370	1
371	1
372	1
373	1
374	2
375	2
376	1
377	1
378	1
379	0
380	1
381	0
382	1
383	0
384	1
385	1
386	0
387	0
388	0
389	0
390	0
391	1
392	2
393	0
394	1
395	2
396	0
397	0
398	2
399	2
400	0
401	0
402	0
403	2
404	1
405	0
406	0
407	1
408	0
409	0
410	1
411	0
412	0
413	0
414	2
415	1
416	1
417	2
418	0
419	0
420	0
421	0
422	1
423	0
424	0
425	0
426	0
427	0
428	0
429	1
430	3
431	0
432	0
433	2
434	1
435	0
436	0
437	1
438	0
439	1
440	0
441	0
442	1
443	0
444	0
445	0
446	0
447	1
448	0
449	0
450	2
451	0
452	0
453	3
454	0
455	0
456	0
457	0
458	0
459	1
460	0
461	0
462	0
463	0
464	0
465	0
466	1
467	0
468	0
469	0
470	0
471	0
472	0
473	1
474	0
475	0
476	0
477	1
478	1
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	1
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	1
500	0
501	1
502	0
503	1
504	0
505	1
506	0
507	1
508	0
509	1
510	2
511	9
