n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	2
16	1
17	3
18	12
19	6
20	6
21	1
22	4
23	0
24	4
25	3
26	3
27	11
28	8
29	9
30	16
31	12
32	19
33	23
34	33
35	36
36	30
37	41
38	44
39	40
40	46
41	40
42	51
43	39
44	52
45	37
46	48
47	45
48	43
49	57
50	56
51	56
52	55
53	54
54	59
55	73
56	76
57	68
58	84
59	57
60	72
61	77
62	82
63	82
64	69
65	82
66	76
67	84
68	80
69	82
70	69
71	106
72	105
73	96
74	110
75	106
76	86
77	99
78	100
79	107
80	126
81	114
82	130
83	134
84	116
85	144
86	133
87	153
88	188
89	159
90	139
91	172
92	134
93	148
94	166
95	165
96	152
97	184
98	244
99	333
100	631
101	1199
102	2062
103	3104
104	4082
105	4340
106	3890
107	3207
108	2661
109	2509
110	2707
111	3076
112	3251
113	2970
114	2642
115	2291
116	1903
117	1492
118	1230
119	901
120	614
121	449
122	312
123	245
124	217
125	209
126	186
127	124
128	81
129	73
130	49
131	51
132	42
133	25
134	26
135	20
136	17
137	10
138	8
139	9
140	8
141	4
142	6
143	9
144	7
145	3
146	8
147	5
148	4
149	5
150	9
151	8
152	8
153	9
154	6
155	15
156	10
157	12
158	10
159	10
160	14
161	16
162	18
163	19
164	19
165	29
166	21
167	24
168	24
169	23
170	23
171	24
172	19
173	23
174	22
175	15
176	22
177	11
178	19
179	21
180	9
181	11
182	9
183	10
184	8
185	9
186	7
187	11
188	4
189	4
190	12
191	4
192	5
193	6
194	14
195	3
196	6
197	7
198	5
199	5
200	5
201	6
202	6
203	4
204	11
205	7
206	4
207	4
208	10
209	7
210	7
211	9
212	4
213	4
214	5
215	5
216	8
217	7
218	10
219	6
220	3
221	3
222	2
223	2
224	6
225	1
226	1
227	4
228	5
229	2
230	2
231	0
232	1
233	0
234	1
235	1
236	0
237	0
238	0
239	1
240	1
241	1
242	3
243	2
244	1
245	1
246	2
247	3
248	0
249	1
250	1
251	0
252	1
253	2
254	1
255	0
256	2
257	0
258	0
259	0
260	0
261	1
262	1
263	0
264	0
265	2
266	1
267	2
268	0
269	0
270	1
271	1
272	2
273	1
274	3
275	2
276	0
277	0
278	1
279	1
280	0
281	2
282	0
283	3
284	2
285	1
286	0
287	1
288	1
289	1
290	0
291	0
292	1
293	1
294	1
295	1
296	0
297	0
298	0
299	0
300	2
301	1
302	2
303	1
304	1
305	0
306	0
307	1
308	1
309	0
310	0
311	0
312	0
313	0
314	2
315	2
316	0
317	0
318	1
319	1
320	1
321	0
322	0
323	0
324	0
325	1
326	0
327	1
328	0
329	0
330	0
331	1
332	0
333	1
334	0
335	0
336	1
337	0
338	0
339	0
340	1
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	1
355	0
356	0
357	0
358	0
359	0
360	1
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	1
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	1
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	1
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	1
405	0
406	0
407	0
408	0
409	0
410	1
411	0
412	1
413	0
414	1
415	0
416	0
417	0
418	0
419	0
420	1
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
