n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	2
21	0
22	1
23	2
24	0
25	1
26	2
27	4
28	3
29	3
30	4
31	6
32	5
33	15
34	9
35	14
36	16
37	28
38	35
39	65
40	109
41	141
42	149
43	158
44	156
45	118
46	110
47	116
48	73
49	63
50	32
51	32
52	32
53	15
54	13
55	9
56	7
57	8
58	3
59	3
60	2
61	3
62	7
63	9
64	3
65	4
66	9
67	6
68	9
69	5
70	6
71	3
72	5
73	4
74	5
75	3
76	6
77	8
78	13
79	11
80	8
81	14
82	16
83	11
84	14
85	8
86	11
87	8
88	7
89	17
90	9
91	6
92	24
93	25
94	25
95	29
96	23
97	22
98	23
99	22
100	25
101	25
102	27
103	39
104	59
105	76
106	76
107	55
108	44
109	46
110	36
111	25
112	28
113	30
114	21
115	22
116	23
117	30
118	18
119	24
120	12
121	17
122	19
123	12
124	24
125	21
126	26
127	31
128	40
129	27
130	22
131	19
132	16
133	16
134	12
135	9
136	10
137	3
138	8
139	12
140	8
141	11
142	6
143	11
144	9
145	9
146	16
147	15
148	25
149	16
150	12
151	18
152	14
153	13
154	8
155	12
156	14
157	10
158	18
159	8
160	13
161	9
162	11
163	8
164	8
165	18
166	8
167	9
168	13
169	11
170	7
171	10
172	15
173	5
174	5
175	17
176	6
177	5
178	10
179	10
180	7
181	7
182	7
183	8
184	3
185	7
186	9
187	6
188	4
189	5
190	2
191	5
192	3
193	7
194	4
195	6
196	3
197	7
198	4
199	8
200	7
201	5
202	6
203	4
204	11
205	10
206	4
207	7
208	8
209	7
210	8
211	9
212	8
213	7
214	6
215	7
216	6
217	6
218	6
219	5
220	6
221	8
222	2
223	5
224	10
225	7
226	7
227	4
228	6
229	3
230	6
231	10
232	4
233	10
234	9
235	7
236	7
237	3
238	8
239	9
240	5
241	5
242	4
243	4
244	4
245	9
246	6
247	9
248	2
249	8
250	1
251	5
252	7
253	7
254	7
255	4
256	7
257	6
258	2
259	4
260	4
261	3
262	4
263	3
264	12
265	5
266	7
267	12
268	5
269	7
270	9
271	7
272	5
273	8
274	7
275	7
276	10
277	13
278	6
279	19
280	32
281	57
282	107
283	200
284	278
285	276
286	298
287	256
288	238
289	194
290	131
291	89
292	61
293	45
294	21
295	17
296	8
297	2
298	3
299	2
300	3
301	0
302	2
303	2
304	2
305	2
306	1
307	2
308	3
309	5
310	3
311	1
312	1
313	2
314	2
315	7
316	18
317	32
318	28
319	38
320	44
321	45
322	37
323	38
324	19
325	26
326	23
327	11
328	9
329	7
330	5
331	1
332	2
333	0
334	0
335	0
336	0
337	0
338	1
339	0
340	0
341	0
342	1
343	0
344	0
345	1
346	0
347	0
348	0
349	0
350	0
351	0
352	1
353	0
354	0
355	0
356	0
357	1
358	0
359	0
360	0
361	0
362	1
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	1
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	1
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	1
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	1
461	1
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	1
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
