n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	1
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	2
26	3
27	1
28	4
29	1
30	3
31	2
32	4
33	12
34	5
35	11
36	17
37	31
38	45
39	66
40	82
41	115
42	142
43	126
44	145
45	157
46	90
47	105
48	84
49	63
50	38
51	49
52	19
53	11
54	8
55	6
56	9
57	6
58	5
59	3
60	6
61	7
62	7
63	3
64	2
65	7
66	4
67	3
68	3
69	8
70	4
71	7
72	6
73	9
74	4
75	5
76	7
77	6
78	12
79	12
80	4
81	11
82	7
83	11
84	9
85	17
86	9
87	8
88	8
89	15
90	18
91	22
92	20
93	21
94	22
95	22
96	26
97	23
98	29
99	35
100	16
101	15
102	28
103	53
104	56
105	74
106	53
107	58
108	42
109	41
110	34
111	27
112	26
113	19
114	16
115	18
116	43
117	17
118	23
119	17
120	18
121	22
122	13
123	14
124	26
125	26
126	21
127	30
128	30
129	32
130	17
131	20
132	17
133	7
134	12
135	10
136	7
137	7
138	7
139	12
140	12
141	13
142	7
143	9
144	10
145	13
146	10
147	9
148	10
149	14
150	18
151	15
152	9
153	13
154	17
155	14
156	19
157	11
158	14
159	10
160	17
161	12
162	11
163	9
164	10
165	11
166	16
167	15
168	13
169	11
170	15
171	11
172	7
173	5
174	4
175	12
176	7
177	8
178	11
179	7
180	8
181	7
182	4
183	10
184	5
185	8
186	4
187	3
188	9
189	6
190	1
191	10
192	2
193	7
194	8
195	5
196	1
197	4
198	9
199	5
200	9
201	11
202	7
203	5
204	7
205	6
206	2
207	8
208	6
209	5
210	11
211	10
212	8
213	4
214	9
215	9
216	3
217	5
218	9
219	4
220	3
221	5
222	5
223	6
224	5
225	2
226	7
227	3
228	5
229	6
230	3
231	3
232	8
233	7
234	1
235	1
236	5
237	8
238	6
239	4
240	8
241	10
242	6
243	5
244	5
245	7
246	5
247	6
248	6
249	6
250	1
251	5
252	2
253	6
254	4
255	5
256	6
257	8
258	4
259	5
260	2
261	5
262	6
263	12
264	3
265	5
266	7
267	14
268	3
269	7
270	6
271	6
272	2
273	12
274	6
275	7
276	9
277	3
278	11
279	13
280	32
281	66
282	141
283	174
284	201
285	297
286	302
287	275
288	227
289	158
290	111
291	100
292	61
293	25
294	14
295	15
296	5
297	4
298	4
299	3
300	0
301	1
302	1
303	1
304	1
305	2
306	1
307	1
308	1
309	1
310	3
311	1
312	2
313	1
314	4
315	7
316	9
317	18
318	30
319	41
320	42
321	29
322	31
323	32
324	23
325	17
326	18
327	14
328	16
329	6
330	1
331	0
332	4
333	1
334	2
335	2
336	1
337	0
338	0
339	0
340	0
341	1
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	1
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	1
375	0
376	0
377	1
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	1
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	1
405	0
406	0
407	0
408	1
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	1
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	1
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	1
507	0
508	0
509	0
510	0
511	0
