n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	2
16	2
17	7
18	9
19	2
20	3
21	3
22	3
23	4
24	5
25	8
26	8
27	11
28	10
29	23
30	22
31	28
32	37
33	39
34	35
35	62
36	55
37	67
38	43
39	60
40	63
41	66
42	79
43	83
44	63
45	66
46	73
47	78
48	84
49	81
50	81
51	81
52	102
53	105
54	90
55	87
56	101
57	82
58	117
59	100
60	100
61	108
62	130
63	118
64	123
65	109
66	134
67	115
68	128
69	119
70	147
71	143
72	153
73	125
74	160
75	149
76	158
77	171
78	152
79	198
80	185
81	205
82	197
83	206
84	226
85	240
86	226
87	222
88	217
89	213
90	199
91	221
92	227
93	239
94	231
95	244
96	315
97	428
98	716
99	1537
100	2939
101	4888
102	7626
103	10194
104	11702
105	10999
106	9333
107	7272
108	5724
109	4470
110	3476
111	2596
112	1888
113	1439
114	1202
115	1032
116	997
117	776
118	647
119	516
120	417
121	326
122	241
123	175
124	134
125	96
126	63
127	57
128	65
129	38
130	40
131	42
132	35
133	38
134	37
135	36
136	29
137	27
138	28
139	33
140	28
141	28
142	28
143	38
144	32
145	32
146	30
147	31
148	29
149	33
150	36
151	20
152	40
153	20
154	37
155	41
156	63
157	49
158	73
159	72
160	104
161	103
162	116
163	93
164	98
165	110
166	86
167	75
168	74
169	59
170	34
171	40
172	45
173	33
174	30
175	29
176	29
177	24
178	21
179	36
180	27
181	20
182	15
183	20
184	15
185	18
186	15
187	20
188	16
189	17
190	24
191	19
192	16
193	22
194	19
195	16
196	19
197	22
198	16
199	27
200	32
201	24
202	14
203	27
204	28
205	26
206	18
207	31
208	27
209	25
210	16
211	14
212	16
213	17
214	8
215	4
216	5
217	3
218	3
219	3
220	4
221	10
222	6
223	5
224	2
225	2
226	2
227	1
228	1
229	2
230	1
231	0
232	0
233	1
234	1
235	1
236	1
237	0
238	1
239	3
240	2
241	1
242	2
243	0
244	2
245	2
246	0
247	1
248	2
249	3
250	1
251	0
252	4
253	1
254	2
255	1
256	2
257	1
258	0
259	2
260	0
261	1
262	1
263	3
264	0
265	0
266	5
267	0
268	3
269	0
270	0
271	1
272	1
273	0
274	0
275	0
276	1
277	0
278	0
279	0
280	0
281	0
282	1
283	1
284	1
285	2
286	0
287	2
288	2
289	0
290	2
291	0
292	1
293	2
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	1
309	0
310	1
311	3
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	2
320	1
321	0
322	1
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	1
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	1
347	0
348	0
349	0
350	1
351	0
352	0
353	0
354	0
355	0
356	0
357	1
358	0
359	1
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	2
370	0
371	0
372	0
373	1
374	0
375	1
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	1
385	0
386	0
387	0
388	0
389	0
390	1
391	0
392	0
393	0
394	0
395	1
396	0
397	0
398	0
399	0
400	0
401	0
402	2
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	1
411	0
412	0
413	0
414	0
415	1
416	0
417	1
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
