n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	1
14	3
15	20
16	13
17	4
18	1
19	2
20	8
21	4
22	5
23	4
24	13
25	22
26	21
27	26
28	38
29	22
30	52
31	59
32	66
33	87
34	106
35	112
36	112
37	129
38	136
39	150
40	145
41	146
42	161
43	148
44	134
45	171
46	179
47	181
48	211
49	227
50	237
51	235
52	235
53	212
54	261
55	242
56	256
57	272
58	320
59	321
60	369
61	355
62	354
63	388
64	347
65	330
66	382
67	408
68	403
69	367
70	386
71	416
72	438
73	450
74	547
75	640
76	975
77	1681
78	3180
79	5556
80	9059
81	12583
82	14527
83	14719
84	13112
85	10861
86	8478
87	7318
88	6317
89	5489
90	4469
91	3721
92	2794
93	2222
94	1602
95	1294
96	1034
97	789
98	563
99	409
100	276
101	214
102	211
103	164
104	137
105	142
106	171
107	121
108	128
109	113
110	123
111	119
112	117
113	115
114	109
115	102
116	110
117	114
118	115
119	101
120	102
121	103
122	153
123	146
124	180
125	192
126	214
127	256
128	250
129	226
130	274
131	248
132	241
133	222
134	168
135	152
136	157
137	146
138	114
139	94
140	92
141	75
142	77
143	70
144	77
145	52
146	51
147	55
148	61
149	49
150	55
151	55
152	55
153	44
154	53
155	51
156	53
157	48
158	68
159	50
160	51
161	63
162	60
163	78
164	70
165	64
166	61
167	51
168	48
169	34
170	44
171	36
172	34
173	23
174	17
175	18
176	17
177	16
178	8
179	7
180	5
181	4
182	6
183	5
184	5
185	1
186	4
187	5
188	0
189	7
190	4
191	1
192	7
193	5
194	3
195	1
196	5
197	3
198	2
199	4
200	4
201	5
202	1
203	6
204	3
205	2
206	4
207	3
208	3
209	2
210	3
211	2
212	4
213	6
214	3
215	2
216	4
217	3
218	1
219	3
220	4
221	3
222	1
223	1
224	0
225	4
226	0
227	2
228	0
229	1
230	1
231	2
232	3
233	4
234	0
235	3
236	2
237	1
238	1
239	3
240	1
241	1
242	0
243	1
244	1
245	1
246	1
247	0
248	1
249	0
250	1
251	3
252	1
253	1
254	0
255	1
256	1
257	0
258	1
259	1
260	0
261	0
262	4
263	0
264	0
265	0
266	1
267	1
268	2
269	2
270	1
271	1
272	1
273	1
274	0
275	0
276	1
277	2
278	0
279	1
280	1
281	0
282	2
283	2
284	0
285	2
286	1
287	1
288	4
289	1
290	0
291	1
292	1
293	0
294	0
295	0
296	0
297	0
298	0
299	2
300	0
301	1
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	1
311	1
312	1
313	0
314	0
315	1
316	0
317	0
318	0
319	1
320	0
321	1
322	0
323	0
324	1
325	1
326	0
327	0
328	1
329	1
330	0
331	0
332	2
333	2
334	1
335	0
336	0
337	0
338	0
339	0
340	0
341	1
342	0
343	0
344	1
345	0
346	1
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	1
356	0
357	2
358	1
359	0
360	0
361	0
362	1
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	1
373	0
374	0
375	0
376	1
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	1
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	1
400	0
401	1
402	0
403	1
404	0
405	0
406	0
407	0
408	0
409	0
410	1
411	0
412	0
413	0
414	0
415	0
416	1
417	0
418	0
419	0
420	0
421	1
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	1
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
