&b 	R_0 
28,50	0,300
28,51	0,467
28,52	0,425
28,53	0,358
28,54	0,367
28,55	0,408
28,56	0,367
28,57	0,433
28,58	0,408
28,59	0,342
28,60	0,367
28,61	0,192
28,62	0,342
28,63	0,333
28,64	0,292
28,65	0,333
28,66	0,325
28,67	0,383
28,68	0,308
28,69	0,375
28,70	0,408
28,71	0,483
28,72	0,350
28,73	0,342
28,74	0,400
28,75	0,350
28,76	0,367
28,77	0,200
28,78	0,308
28,79	0,375
28,80	0,367
28,81	0,442
28,82	0,358
28,83	0,350
28,84	0,342
28,85	0,417
28,86	0,483
28,87	0,533
28,88	0,475
28,89	0,333
28,90	0,308
28,91	0,383
28,92	0,442
28,93	0,408
28,94	0,317
28,95	0,308
28,96	0,408
28,97	0,417
28,98	0,367
28,99	0,300
29,00	0,350
29,01	0,417
29,02	0,283
29,03	0,492
29,04	0,275
29,05	0,342
29,06	0,392
29,07	0,367
29,08	0,392
29,09	0,375
29,10	0,392
29,11	0,333
29,12	0,275
29,13	0,375
29,14	0,417
29,15	0,342
29,16	0,383
29,17	0,475
29,18	0,375
29,19	0,342
29,20	0,458
29,21	0,275
29,22	0,517
29,23	0,342
29,24	0,492
29,25	0,375
29,26	0,333
29,27	0,475
29,28	0,342
29,29	0,442
29,30	0,433
29,31	0,508
29,32	0,467
29,33	0,442
29,34	0,408
29,35	0,433
29,36	0,567
29,37	0,425
29,38	0,483
29,39	0,517
29,40	0,400
29,41	0,550
29,42	0,400
29,43	0,567
29,44	0,417
29,45	0,483
29,46	0,392
29,47	0,475
29,48	0,542
29,49	0,600
29,50	0,950
29,51	0,892
29,52	1,208
29,53	1,700
29,54	2,142
29,55	2,650
29,56	3,342
29,57	3,517
29,58	4,425
29,59	4,575
29,60	4,742
29,61	4,742
29,62	4,883
29,63	4,533
29,64	4,250
29,65	3,642
29,66	3,150
29,67	2,850
29,68	2,367
29,69	1,675
29,70	1,608
29,71	1,142
29,72	0,950
29,73	1,042
29,74	0,750
29,75	0,558
29,76	0,692
29,77	0,375
29,78	0,558
29,79	0,483
29,80	0,450
29,81	0,500
29,82	0,483
29,83	0,417
