n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	2
25	1
26	2
27	4
28	6
29	4
30	5
31	10
32	12
33	8
34	12
35	14
36	11
37	7
38	17
39	11
40	9
41	12
42	7
43	7
44	4
45	3
46	9
47	12
48	14
49	9
50	9
51	7
52	8
53	10
54	9
55	12
56	11
57	7
58	11
59	8
60	15
61	10
62	9
63	11
64	10
65	10
66	12
67	7
68	14
69	13
70	11
71	26
72	32
73	37
74	32
75	35
76	38
77	23
78	18
79	22
80	21
81	17
82	16
83	24
84	19
85	19
86	13
87	17
88	17
89	22
90	20
91	17
92	12
93	25
94	23
95	19
96	24
97	31
98	27
99	20
100	27
101	19
102	32
103	45
104	42
105	48
106	46
107	56
108	38
109	33
110	22
111	26
112	15
113	22
114	22
115	29
116	21
117	18
118	15
119	18
120	18
121	20
122	24
123	20
124	38
125	43
126	63
127	61
128	57
129	56
130	41
131	38
132	28
133	25
134	18
135	17
136	17
137	12
138	10
139	15
140	13
141	18
142	30
143	47
144	52
145	56
146	75
147	65
148	74
149	61
150	60
151	77
152	46
153	47
154	34
155	29
156	31
157	15
158	22
159	26
160	16
161	13
162	10
163	11
164	9
165	11
166	10
167	8
168	15
169	14
170	14
171	9
172	13
173	13
174	12
175	20
176	10
177	17
178	10
179	8
180	17
181	18
182	23
183	20
184	20
185	37
186	13
187	20
188	16
189	16
190	10
191	7
192	13
193	11
194	8
195	9
196	14
197	11
198	12
199	9
200	12
201	15
202	9
203	13
204	15
205	18
206	12
207	14
208	14
209	15
210	16
211	28
212	14
213	18
214	25
215	19
216	26
217	23
218	26
219	29
220	42
221	57
222	117
223	234
224	452
225	742
226	941
227	1107
228	1099
229	934
230	692
231	514
232	416
233	317
234	198
235	111
236	72
237	40
238	14
239	9
240	10
241	9
242	6
243	7
244	6
245	8
246	5
247	5
248	14
249	13
250	40
251	68
252	84
253	127
254	143
255	134
256	146
257	111
258	97
259	75
260	50
261	40
262	24
263	22
264	12
265	12
266	5
267	3
268	1
269	2
270	1
271	0
272	2
273	0
274	0
275	1
276	0
277	0
278	0
279	0
280	1
281	0
282	1
283	2
284	1
285	0
286	1
287	1
288	1
289	0
290	1
291	1
292	1
293	1
294	0
295	3
296	0
297	1
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	1
309	1
310	0
311	0
312	1
313	0
314	0
315	1
316	0
317	0
318	1
319	0
320	0
321	1
322	1
323	0
324	0
325	0
326	0
327	0
328	0
329	1
330	0
331	0
332	1
333	1
334	0
335	0
336	0
337	2
338	0
339	1
340	0
341	0
342	1
343	2
344	0
345	0
346	1
347	2
348	0
349	1
350	0
351	0
352	1
353	2
354	0
355	0
356	1
357	1
358	1
359	0
360	0
361	0
362	0
363	1
364	0
365	2
366	1
367	0
368	0
369	1
370	0
371	0
372	2
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	1
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	1
390	0
391	0
392	0
393	0
394	2
395	0
396	1
397	0
398	0
399	0
400	0
401	0
402	0
403	1
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	1
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	1
427	0
428	1
429	1
430	0
431	0
432	0
433	1
434	1
435	0
436	0
437	0
438	1
439	0
440	0
441	1
442	0
443	0
444	0
445	0
446	1
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	1
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
