n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	4
15	3
16	7
17	7
18	6
19	1
20	4
21	2
22	3
23	3
24	6
25	5
26	5
27	19
28	23
29	18
30	23
31	27
32	30
33	39
34	49
35	69
36	54
37	50
38	56
39	64
40	76
41	66
42	77
43	76
44	75
45	63
46	95
47	71
48	84
49	102
50	82
51	106
52	106
53	126
54	102
55	105
56	108
57	128
58	125
59	137
60	135
61	134
62	147
63	143
64	148
65	136
66	141
67	154
68	126
69	163
70	179
71	158
72	163
73	182
74	234
75	237
76	226
77	271
78	251
79	255
80	230
81	234
82	242
83	224
84	207
85	244
86	257
87	270
88	268
89	305
90	402
91	618
92	1072
93	1890
94	3544
95	5640
96	7917
97	8523
98	8012
99	6589
100	5132
101	4009
102	3259
103	2688
104	2184
105	1777
106	1592
107	1534
108	1367
109	1166
110	870
111	714
112	504
113	392
114	318
115	192
116	131
117	62
118	37
119	47
120	30
121	25
122	28
123	31
124	23
125	26
126	14
127	17
128	20
129	12
130	12
131	18
132	19
133	21
134	21
135	18
136	13
137	24
138	15
139	21
140	17
141	23
142	16
143	28
144	25
145	23
146	50
147	47
148	50
149	58
150	63
151	70
152	56
153	57
154	52
155	57
156	46
157	39
158	41
159	37
160	36
161	27
162	31
163	29
164	26
165	27
166	22
167	17
168	17
169	19
170	15
171	10
172	14
173	15
174	19
175	6
176	9
177	17
178	9
179	10
180	14
181	15
182	15
183	16
184	11
185	13
186	13
187	16
188	10
189	19
190	15
191	14
192	13
193	12
194	13
195	18
196	13
197	15
198	8
199	8
200	14
201	5
202	4
203	3
204	3
205	4
206	4
207	4
208	1
209	4
210	1
211	6
212	2
213	0
214	1
215	2
216	1
217	2
218	0
219	1
220	0
221	1
222	3
223	1
224	0
225	0
226	0
227	0
228	2
229	2
230	0
231	4
232	0
233	0
234	1
235	4
236	1
237	2
238	3
239	1
240	0
241	0
242	1
243	2
244	1
245	1
246	0
247	2
248	3
249	0
250	1
251	1
252	0
253	2
254	1
255	1
256	1
257	1
258	0
259	2
260	0
261	0
262	0
263	1
264	1
265	0
266	2
267	1
268	0
269	2
270	1
271	0
272	1
273	3
274	0
275	0
276	0
277	1
278	1
279	3
280	0
281	1
282	0
283	0
284	1
285	2
286	0
287	1
288	0
289	2
290	1
291	2
292	0
293	0
294	0
295	1
296	0
297	0
298	1
299	0
300	1
301	0
302	0
303	2
304	0
305	1
306	0
307	0
308	0
309	0
310	1
311	1
312	0
313	1
314	0
315	1
316	1
317	0
318	0
319	2
320	1
321	1
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	1
336	1
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	1
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	1
360	1
361	0
362	0
363	0
364	0
365	0
366	0
367	1
368	0
369	0
370	1
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	1
385	0
386	0
387	0
388	0
389	0
390	0
391	2
392	1
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	1
401	1
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	1
420	0
421	0
422	0
423	0
424	0
425	0
426	1
427	0
428	1
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	1
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
