n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	1
18	1
19	1
20	1
21	1
22	1
23	0
24	0
25	1
26	2
27	4
28	3
29	6
30	5
31	5
32	7
33	13
34	24
35	14
36	14
37	12
38	16
39	17
40	15
41	23
42	12
43	22
44	25
45	16
46	29
47	22
48	21
49	12
50	24
51	19
52	17
53	23
54	19
55	24
56	17
57	22
58	22
59	23
60	17
61	29
62	18
63	29
64	22
65	26
66	31
67	28
68	25
69	20
70	31
71	25
72	23
73	38
74	19
75	24
76	29
77	32
78	31
79	33
80	29
81	35
82	34
83	43
84	36
85	33
86	29
87	36
88	44
89	40
90	31
91	40
92	51
93	37
94	54
95	49
96	51
97	67
98	62
99	66
100	90
101	138
102	181
103	276
104	371
105	403
106	344
107	292
108	234
109	183
110	168
111	137
112	125
113	124
114	128
115	114
116	105
117	131
118	114
119	131
120	141
121	127
122	100
123	93
124	94
125	88
126	73
127	90
128	74
129	75
130	64
131	81
132	108
133	150
134	318
135	547
136	843
137	1116
138	1133
139	1052
140	872
141	683
142	496
143	398
144	277
145	221
146	140
147	90
148	59
149	58
150	50
151	55
152	45
153	29
154	30
155	41
156	49
157	50
158	64
159	95
160	156
161	205
162	336
163	507
164	660
165	672
166	681
167	525
168	452
169	349
170	235
171	205
172	154
173	91
174	48
175	31
176	26
177	9
178	7
179	4
180	5
181	9
182	5
183	5
184	12
185	7
186	9
187	8
188	20
189	21
190	40
191	52
192	68
193	59
194	59
195	53
196	39
197	40
198	24
199	19
200	30
201	15
202	7
203	15
204	6
205	4
206	5
207	4
208	4
209	7
210	5
211	3
212	3
213	3
214	3
215	5
216	2
217	3
218	2
219	2
220	2
221	3
222	3
223	3
224	6
225	3
226	2
227	2
228	3
229	4
230	2
231	1
232	2
233	2
234	6
235	3
236	2
237	4
238	2
239	3
240	3
241	5
242	2
243	5
244	2
245	4
246	8
247	1
248	1
249	1
250	1
251	2
252	1
253	4
254	1
255	2
256	1
257	3
258	0
259	4
260	2
261	0
262	2
263	1
264	2
265	0
266	0
267	0
268	3
269	2
270	1
271	2
272	0
273	1
274	0
275	1
276	2
277	2
278	2
279	1
280	1
281	1
282	0
283	4
284	0
285	3
286	3
287	3
288	0
289	1
290	1
291	1
292	0
293	0
294	1
295	1
296	0
297	0
298	0
299	1
300	0
301	0
302	1
303	2
304	0
305	0
306	0
307	0
308	2
309	0
310	1
311	1
312	0
313	0
314	2
315	0
316	0
317	0
318	2
319	0
320	3
321	0
322	0
323	0
324	0
325	1
326	0
327	0
328	0
329	0
330	1
331	1
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	1
349	0
350	0
351	1
352	1
353	0
354	1
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	1
363	0
364	0
365	0
366	0
367	1
368	1
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	1
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	1
386	0
387	1
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	1
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	1
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
