n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	1
16	0
17	1
18	1
19	2
20	0
21	0
22	2
23	2
24	0
25	5
26	1
27	3
28	3
29	5
30	11
31	3
32	12
33	15
34	19
35	27
36	31
37	26
38	26
39	36
40	41
41	38
42	46
43	66
44	101
45	156
46	220
47	328
48	367
49	403
50	374
51	354
52	338
53	282
54	237
55	164
56	120
57	109
58	86
59	60
60	36
61	23
62	20
63	14
64	8
65	11
66	4
67	8
68	10
69	3
70	2
71	8
72	11
73	10
74	8
75	9
76	5
77	6
78	15
79	9
80	10
81	10
82	12
83	15
84	12
85	10
86	18
87	13
88	8
89	5
90	7
91	9
92	14
93	11
94	6
95	9
96	14
97	16
98	7
99	12
100	15
101	23
102	40
103	79
104	82
105	95
106	96
107	70
108	84
109	56
110	38
111	44
112	41
113	16
114	22
115	35
116	25
117	18
118	24
119	22
120	21
121	10
122	14
123	10
124	6
125	7
126	16
127	17
128	21
129	21
130	11
131	8
132	8
133	14
134	13
135	8
136	6
137	11
138	10
139	7
140	10
141	7
142	11
143	7
144	6
145	3
146	4
147	6
148	7
149	10
150	8
151	11
152	12
153	13
154	7
155	10
156	11
157	4
158	10
159	6
160	3
161	3
162	6
163	9
164	9
165	6
166	1
167	6
168	3
169	6
170	8
171	2
172	7
173	7
174	9
175	5
176	7
177	5
178	4
179	4
180	3
181	7
182	6
183	11
184	10
185	8
186	6
187	5
188	3
189	7
190	6
191	5
192	7
193	11
194	4
195	4
196	8
197	4
198	11
199	3
200	4
201	2
202	2
203	4
204	4
205	1
206	2
207	5
208	6
209	4
210	4
211	4
212	5
213	6
214	3
215	7
216	5
217	6
218	4
219	2
220	7
221	2
222	5
223	7
224	3
225	3
226	3
227	2
228	2
229	2
230	3
231	2
232	4
233	3
234	6
235	6
236	4
237	3
238	4
239	1
240	2
241	1
242	2
243	4
244	3
245	3
246	4
247	4
248	4
249	6
250	5
251	4
252	3
253	4
254	6
255	4
256	6
257	3
258	5
259	0
260	2
261	5
262	2
263	2
264	0
265	4
266	1
267	7
268	2
269	1
270	5
271	2
272	1
273	3
274	3
275	1
276	1
277	2
278	6
279	4
280	5
281	4
282	5
283	3
284	3
285	4
286	5
287	5
288	4
289	7
290	5
291	4
292	2
293	5
294	2
295	2
296	1
297	3
298	3
299	3
300	3
301	3
302	2
303	1
304	4
305	2
306	4
307	3
308	5
309	2
310	0
311	6
312	3
313	2
314	4
315	4
316	7
317	15
318	24
319	37
320	56
321	81
322	89
323	92
324	88
325	67
326	55
327	50
328	30
329	19
330	20
331	7
332	4
333	2
334	4
335	0
336	0
337	1
338	2
339	0
340	1
341	1
342	1
343	1
344	1
345	1
346	0
347	0
348	0
349	1
350	1
351	0
352	2
353	1
354	0
355	3
356	1
357	3
358	6
359	3
360	8
361	14
362	16
363	11
364	6
365	7
366	4
367	5
368	6
369	1
370	4
371	2
372	1
373	0
374	0
375	2
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	1
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	1
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
