n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	8
15	11
16	2
17	0
18	1
19	1
20	0
21	1
22	4
23	8
24	8
25	12
26	11
27	22
28	22
29	30
30	30
31	46
32	43
33	56
34	78
35	99
36	129
37	151
38	165
39	188
40	170
41	135
42	151
43	169
44	160
45	175
46	155
47	173
48	169
49	179
50	176
51	165
52	186
53	207
54	243
55	470
56	1045
57	2207
58	3771
59	5619
60	6513
61	6123
62	5203
63	4352
64	3692
65	3179
66	2622
67	1997
68	1305
69	840
70	530
71	370
72	208
73	135
74	83
75	34
76	38
77	18
78	19
79	20
80	22
81	22
82	26
83	39
84	26
85	36
86	31
87	33
88	30
89	40
90	41
91	42
92	44
93	45
94	58
95	47
96	52
97	48
98	33
99	28
100	29
101	32
102	37
103	37
104	50
105	42
106	41
107	28
108	18
109	23
110	24
111	19
112	27
113	30
114	46
115	39
116	44
117	55
118	32
119	34
120	32
121	28
122	18
123	23
124	17
125	9
126	11
127	8
128	6
129	8
130	6
131	7
132	5
133	3
134	3
135	4
136	3
137	2
138	4
139	3
140	7
141	4
142	5
143	4
144	5
145	0
146	4
147	5
148	5
149	5
150	5
151	7
152	4
153	8
154	4
155	2
156	3
157	3
158	0
159	3
160	2
161	1
162	4
163	1
164	4
165	2
166	7
167	3
168	4
169	3
170	0
171	4
172	5
173	3
174	0
175	1
176	2
177	5
178	3
179	5
180	1
181	0
182	3
183	2
184	6
185	0
186	2
187	1
188	2
189	3
190	4
191	1
192	2
193	2
194	3
195	0
196	4
197	4
198	1
199	5
200	2
201	1
202	2
203	1
204	3
205	1
206	2
207	3
208	2
209	1
210	4
211	0
212	3
213	3
214	2
215	2
216	0
217	1
218	5
219	0
220	2
221	1
222	1
223	3
224	0
225	0
226	3
227	1
228	2
229	3
230	1
231	2
232	2
233	1
234	2
235	1
236	2
237	0
238	1
239	1
240	4
241	0
242	3
243	1
244	2
245	2
246	0
247	4
248	0
249	1
250	2
251	0
252	2
253	2
254	2
255	3
256	2
257	0
258	0
259	0
260	1
261	0
262	3
263	0
264	1
265	0
266	2
267	1
268	1
269	2
270	1
271	0
272	2
273	1
274	0
275	1
276	1
277	1
278	1
279	0
280	1
281	1
282	2
283	1
284	2
285	4
286	0
287	2
288	1
289	0
290	0
291	1
292	0
293	1
294	2
295	2
296	0
297	0
298	2
299	1
300	2
301	0
302	2
303	1
304	0
305	1
306	1
307	0
308	0
309	1
310	1
311	0
312	0
313	0
314	1
315	0
316	2
317	1
318	1
319	2
320	0
321	1
322	0
323	1
324	1
325	1
326	0
327	2
328	0
329	0
330	0
331	0
332	0
333	2
334	0
335	0
336	0
337	0
338	0
339	0
340	2
341	0
342	0
343	0
344	0
345	1
346	1
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	1
357	0
358	0
359	1
360	0
361	0
362	0
363	1
364	1
365	0
366	0
367	1
368	0
369	1
370	1
371	0
372	1
373	0
374	1
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	1
383	0
384	0
385	0
386	1
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	1
401	0
402	0
403	1
404	0
405	0
406	0
407	0
408	0
409	1
410	1
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	1
427	0
428	1
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	1
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
