n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	1
15	0
16	2
17	4
18	1
19	1
20	4
21	1
22	0
23	3
24	6
25	7
26	4
27	12
28	7
29	6
30	12
31	9
32	19
33	28
34	30
35	31
36	40
37	36
38	41
39	44
40	45
41	36
42	36
43	37
44	51
45	52
46	60
47	53
48	49
49	45
50	52
51	48
52	48
53	52
54	62
55	75
56	69
57	62
58	65
59	68
60	77
61	86
62	72
63	74
64	77
65	91
66	92
67	89
68	91
69	85
70	78
71	86
72	92
73	96
74	99
75	87
76	86
77	94
78	97
79	109
80	99
81	139
82	117
83	118
84	120
85	150
86	112
87	140
88	150
89	180
90	169
91	189
92	204
93	188
94	185
95	174
96	192
97	178
98	159
99	202
100	251
101	350
102	488
103	645
104	771
105	839
106	899
107	1113
108	1472
109	2394
110	3815
111	5214
112	6209
113	6038
114	5106
115	4076
116	3128
117	2511
118	1965
119	1424
120	1012
121	748
122	705
123	747
124	835
125	855
126	785
127	681
128	477
129	376
130	304
131	214
132	129
133	87
134	51
135	30
136	19
137	17
138	19
139	16
140	9
141	21
142	19
143	8
144	13
145	8
146	10
147	11
148	9
149	8
150	10
151	11
152	9
153	9
154	10
155	7
156	11
157	13
158	15
159	15
160	11
161	12
162	18
163	9
164	8
165	12
166	16
167	12
168	16
169	23
170	17
171	36
172	26
173	25
174	31
175	34
176	31
177	32
178	25
179	27
180	33
181	20
182	11
183	22
184	10
185	11
186	17
187	13
188	15
189	6
190	16
191	7
192	9
193	6
194	6
195	6
196	6
197	6
198	7
199	6
200	9
201	7
202	7
203	7
204	3
205	6
206	6
207	4
208	5
209	4
210	10
211	6
212	11
213	9
214	5
215	8
216	12
217	13
218	4
219	10
220	7
221	5
222	6
223	6
224	9
225	6
226	5
227	5
228	4
229	2
230	2
231	3
232	4
233	2
234	6
235	4
236	0
237	3
238	3
239	0
240	1
241	1
242	1
243	2
244	0
245	3
246	1
247	2
248	0
249	2
250	1
251	0
252	1
253	2
254	1
255	0
256	1
257	1
258	0
259	2
260	0
261	0
262	3
263	0
264	0
265	0
266	1
267	0
268	2
269	1
270	1
271	0
272	2
273	0
274	0
275	1
276	0
277	0
278	0
279	1
280	0
281	2
282	0
283	1
284	0
285	0
286	0
287	1
288	1
289	0
290	0
291	0
292	1
293	0
294	1
295	1
296	0
297	1
298	0
299	0
300	0
301	0
302	0
303	2
304	0
305	0
306	0
307	0
308	0
309	0
310	1
311	0
312	1
313	1
314	0
315	2
316	0
317	0
318	0
319	2
320	1
321	1
322	0
323	1
324	1
325	1
326	2
327	0
328	0
329	0
330	0
331	1
332	1
333	0
334	0
335	1
336	0
337	0
338	1
339	0
340	0
341	0
342	0
343	0
344	0
345	1
346	2
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	2
355	0
356	0
357	1
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	1
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	1
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	1
407	1
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	1
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	1
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	1
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
