n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	3
18	0
19	0
20	0
21	0
22	1
23	1
24	2
25	3
26	5
27	4
28	5
29	6
30	6
31	10
32	10
33	10
34	15
35	16
36	15
37	15
38	19
39	19
40	22
41	18
42	12
43	21
44	18
45	16
46	24
47	15
48	16
49	20
50	19
51	8
52	23
53	11
54	18
55	17
56	19
57	24
58	10
59	21
60	18
61	24
62	25
63	18
64	20
65	14
66	23
67	15
68	21
69	24
70	12
71	24
72	30
73	13
74	28
75	23
76	25
77	19
78	22
79	22
80	30
81	44
82	63
83	61
84	58
85	54
86	54
87	44
88	51
89	36
90	50
91	51
92	37
93	34
94	51
95	51
96	45
97	65
98	47
99	81
100	136
101	248
102	520
103	753
104	1023
105	1185
106	1052
107	900
108	671
109	520
110	382
111	295
112	243
113	174
114	129
115	88
116	91
117	98
118	82
119	55
120	53
121	48
122	40
123	55
124	62
125	54
126	66
127	83
128	78
129	71
130	56
131	54
132	43
133	42
134	29
135	38
136	31
137	32
138	32
139	26
140	18
141	22
142	36
143	30
144	39
145	23
146	36
147	38
148	59
149	75
150	87
151	62
152	61
153	58
154	73
155	59
156	43
157	45
158	26
159	41
160	23
161	27
162	26
163	23
164	17
165	26
166	15
167	22
168	21
169	25
170	16
171	24
172	22
173	24
174	34
175	30
176	32
177	38
178	26
179	26
180	41
181	25
182	29
183	30
184	38
185	29
186	31
187	36
188	41
189	39
190	28
191	32
192	39
193	35
194	45
195	31
196	38
197	46
198	47
199	80
200	164
201	270
202	539
203	930
204	1355
205	1518
206	1665
207	1453
208	1267
209	901
210	634
211	487
212	350
213	233
214	151
215	67
216	33
217	26
218	20
219	13
220	12
221	15
222	9
223	18
224	28
225	40
226	73
227	128
228	142
229	215
230	234
231	239
232	186
233	149
234	110
235	86
236	71
237	43
238	35
239	24
240	18
241	5
242	2
243	1
244	3
245	1
246	0
247	1
248	1
249	1
250	1
251	2
252	3
253	0
254	4
255	4
256	2
257	2
258	1
259	2
260	6
261	5
262	0
263	3
264	4
265	4
266	1
267	4
268	4
269	2
270	2
271	1
272	2
273	0
274	2
275	1
276	0
277	0
278	1
279	0
280	1
281	0
282	1
283	1
284	1
285	0
286	3
287	2
288	0
289	0
290	2
291	3
292	1
293	0
294	0
295	1
296	0
297	0
298	0
299	1
300	2
301	1
302	0
303	2
304	2
305	1
306	3
307	0
308	1
309	4
310	5
311	2
312	1
313	1
314	2
315	4
316	0
317	1
318	2
319	1
320	3
321	2
322	1
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	1
331	0
332	1
333	1
334	1
335	0
336	1
337	0
338	1
339	0
340	0
341	0
342	0
343	1
344	0
345	0
346	0
347	0
348	0
349	1
350	0
351	1
352	1
353	0
354	0
355	0
356	0
357	1
358	0
359	0
360	0
361	0
362	0
363	1
364	0
365	1
366	0
367	0
368	0
369	0
370	1
371	0
372	0
373	2
374	0
375	0
376	0
377	0
378	0
379	1
380	0
381	0
382	2
383	0
384	1
385	0
386	0
387	1
388	1
389	0
390	0
391	0
392	0
393	0
394	0
395	2
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	1
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	1
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	1
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
