h,k,l,d,d_error,theta_rad,lambda,lambda_error
-3,1,1,0.17005239834185867,0.017005239834185868,0.622719126726677,0.19836477873826702,0.8574099666152389
3,1,1,0.17005239834185867,0.017005239834185868,0.622719126726677,0.19836477873826702,0.8574099666152389
-4,0,2,0.1261142339309881,0.012611423393098812,0.6347125187063546,0.14955787290779168,0.6248890849550371
4,0,2,0.1261142339309881,0.012611423393098812,0.6347125187063546,0.14955787290779168,0.6248890849550371
-3,-1,1,0.17005239834185867,0.017005239834185868,0.622719126726677,0.19836477873826702,0.8574099666152389
3,-1,1,0.17005239834185867,0.017005239834185868,0.622719126726677,0.19836477873826702,0.8574099666152389
-6,-6,2,0.06469523695149841,0.006469523695149842,0.5148059551198108,0.06370746540496927,0.37447480431758745
6,-6,2,0.06469523695149841,0.006469523695149842,0.5148059551198108,0.06370746540496927,0.37447480431758745
-4,-2,2,0.11512601791080937,0.011512601791080938,0.8478169733934057,0.17265169273392905,0.38538119320430386
4,-2,2,0.11512601791080937,0.011512601791080938,0.8478169733934057,0.17265169273392905,0.38538119320430386
-3,-3,1,0.12939047390299682,0.012939047390299684,0.7036389513047353,0.1674304035248073,0.5749359415376217
3,-3,1,0.12939047390299682,0.012939047390299684,0.7036389513047353,0.1674304035248073,0.5749359415376217
-1,-3,1,0.17005239834185867,0.017005239834185868,0.6080501183026739,0.19429103984869503,0.8753609804542285
1,-3,1,0.17005239834185867,0.017005239834185868,0.6080501183026739,0.19429103984869503,0.8753609804542285
-2,-4,2,0.11512601791080937,0.011512601791080938,0.8478169733934057,0.17265169273392905,0.38538119320430386
2,-4,2,0.11512601791080937,0.011512601791080938,0.8478169733934057,0.17265169273392905,0.38538119320430386
-4,2,2,0.11512601791080937,0.011512601791080938,0.8478169733934057,0.17265169273392905,0.38538119320430386
4,2,2,0.11512601791080937,0.011512601791080938,0.8478169733934057,0.17265169273392905,0.38538119320430386
-3,3,1,0.12939047390299682,0.012939047390299684,0.7036389513047353,0.1674304035248073,0.5749359415376217
3,3,1,0.12939047390299682,0.012939047390299684,0.7036389513047353,0.1674304035248073,0.5749359415376217
-1,3,1,0.17005239834185867,0.017005239834185868,0.5639426413606289,0.18179366068412578,0.9281099395677302
1,3,1,0.17005239834185867,0.017005239834185868,0.5639426413606289,0.18179366068412578,0.9281099395677302
-6,10,4,0.04574644075887503,0.004574644075887503,0.821512029510267,0.06698894070580243,0.16226686987069308
6,10,4,0.04574644075887503,0.004574644075887503,0.821512029510267,0.06698894070580243,0.16226686987069308
0,6,2,0.08917623001674828,0.008917623001674828,0.6327488350021832,0.10547116418238889,0.4431389679730647
0,-6,2,0.08917623001674828,0.008917623001674828,0.6327488350021832,0.10547116418238889,0.4431389679730647
