5.3 Bestimmen der Wellenlaenge,,,,,,,,,,,,,,,,,,,,
von Punkt,bis Punkt,abstand/cm,abstand fehler,abstand lineal wand/cm,,n,y_0/cm,Delta y_0/cm,y_n/cm,Delta y_n/cm,x_0/cm,Delta x_0/cm,beta,gauß summand1,gauß summand2,delta beta,beta grad,Beta_0 grad,lambda,lambda näherung
-0,0,11,"0,1","73,1","0,5",0,"5,5","0,05","5,5","0,05","73,1","0,5","0,0750979024588631","4,62596206046601E-07","2,61874186793379E-07","0,000851158265447725","4,30279286117798","4,30279",,
0,1,"1,4","0,1",,,1,"5,50","0,05","6,9","0,11180339887499","73,1","0,5","0,0941124012263862","2,29810918201356E-06","4,0950959428426E-07","0,00164548435917751","5,39224339011376","4,30279","-0,00102692132283516","1,62437004197537E-06"
1,2,"0,9","0,1",,,2,"5,50","0,05","7,8","0,15","73,1","0,5","0,106300932071752","4,1163686833569E-06","5,20746317554848E-07","0,00215339615512607","6,09059476601823","4,30279","-0,000689876603180283","1,43114860553072E-06"
2,3,"0,8","0,1",,,3,"5,50","0,05","8,6","0,180277563773199","73,1","0,5","0,117108744566864","5,91710194666134E-06","6,29981575369852E-07","0,00255872693385425","6,70983680775693","4,30279","-0,000436199351783255","1,36331057094361E-06"
3,4,"0,7","0,1",,,4,"5,50","0,05","9,3","0,206155281280883","73,1","0,5","0,126543174861762","7,70208006349115E-06","7,33314463103485E-07","0,00290437506644625","7,25038984576492","4,30279","-0,000241461192012168","1,31559002247544E-06"
4,5,"0,6","0,1",,,5,"5,50","0,05","9,9","0,229128784747792","73,1","0,5","0,134611907415717","9,47409282972032E-06","8,27473275148028E-07","0,00320960528801726","7,71269416712636","4,30279","-0,000107811876282311","1,26805661341303E-06"
5,6,"0,6","0,1",,,6,"5,50","0,05","10,5","0,25","73,1","0,5","0,142663044496481","1,12281136621959E-05","9,2663913066792E-07","0,00348636670372809","8,17399034213542","4,30279","-1,39444476340359E-05","1,24759603838354E-06"
6,7,"0,5","0,1",,,7,"5,50","0,05",11,"0,269258240356725","73,1","0,5","0,149358175000029","1,29734181275402E-05","1,01299437532019E-06","0,00373984124032832","8,55759306327802","4,30279","3,55334487347457E-05","1,21306436232114E-06"
7,8,"0,5","0,1",,,8,"5,50","0,05","11,5","0,287228132326901","73,1","0,5","0,156039842476069","1,47022576832212E-05","1,10263307900294E-06","0,00397553653765428","8,94042440976493","4,30279","6,08418289573539E-05","1,19301371170426E-06"
8,9,"0,4","0,1",,,9,"5,50","0,05","11,9","0,304138126514911","73,1","0,5","0,161375110420691","1,6428139611146E-05","1,17664601895277E-06","0,00419580571882193","9,24611274556325","4,30279","6,50933633037311E-05","1,15776912361993E-06"
9,10,"0,5","0,1",,,10,"5,50","0,05","12,4","0,320156211871642","73,1","0,5","0,168031152801715","1,8123775883503E-05","1,27195996706868E-06","0,00440405901987833","9,62747588225611","4,30279","5,81285504889458E-05","1,15567940025563E-06"
10,11,"0,35","0,1",,,11,"5,50","0,05","12,75","0,335410196624968","73,1","0,5","0,172681491618005","1,98283990353497E-05","1,34048127605122E-06","0,00460096514998765","9,89392066973541","4,30279","4,48831548516661E-05","1,12549466474061E-06"
,,,,d =1mm,,,,,,,,,,,,,,,,
,,,,"0,001",,,,,,,,,,,,,,,,
,,,,,,,,,"0,997170851508797",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
von Punkt,bis Punkt,abstand/cm,abstand fehler,abstand lineal wand/cm,,,,,,,,,,,,,,,,
-0,0,11,"0,1","73,1","0,5",n,y_0/cm,Delta y_0/cm,y_n/cm,Delta y_n/cm,x_0/cm,Delta x_0/cm,beta(kleinwinkelnäherung,delta beta,beta0,delta beta0,lambsa,lambda nm,,
0,1,"1,4","0,1",,,0,"5,5","0,05","5,5","0,05","73,1","0,5","0,0752393980848153","0,00085597664432077","0,0752393980848","0,0008559766",,,,
